FAZENDAPASSARÃO	-60.571	3.208
    25    12  1984     1142.150000
    26    12  1984     1580.430000
    27    12  1984     1369.180000
    28    12  1984     1222.990000
    29    12  1984     1130.720000
    30    12  1984     1217.160000
    31    12  1984     1388.560000
     1     1  1985     1607.520000
     2     1  1985     1607.520000
     3     1  1985     1573.680000
     4     1  1985     1349.890000
     5     1  1985     1170.840000
     6     1  1985     1182.370000
     7     1  1985     1199.730000
     8     1  1985     1113.650000
     9     1  1985      996.207000
    10     1  1985      952.441000
    11     1  1985     1258.100000
    12     1  1985     1408.030000
    13     1  1985     1421.060000
    14     1  1985     1460.390000
    15     1  1985     1421.060000
    16     1  1985     1281.660000
    17     1  1985     1136.430000
    18     1  1985     1023.840000
    19     1  1985      925.368000
    20     1  1985      840.222000
    21     1  1985      777.894000
    22     1  1985      757.419000
    23     1  1985      701.908000
    24     1  1985      682.018000
    25     1  1985      647.597000
    26     1  1985      628.153000
    27     1  1985      623.318000
    28     1  1985      608.875000
    29     1  1985      599.300000
    30     1  1985      589.767000
    31     1  1985      570.829000
     1     2  1985      556.740000
     2     2  1985      552.066000
     3     2  1985      547.402000
     4     2  1985      547.402000
     5     2  1985      538.108000
     6     2  1985      492.315000
     7     2  1985      465.393000
     8     2  1985      456.513000
     9     2  1985      434.525000
    10     2  1985      412.843000
    11     2  1985      408.543000
    12     2  1985      404.257000
    13     2  1985      404.257000
    14     2  1985      391.474000
    15     2  1985      383.015000
    16     2  1985      374.609000
    17     2  1985      366.255000
    18     2  1985      366.255000
    19     2  1985      366.255000
    20     2  1985      362.098000
    21     2  1985      345.602000
    22     2  1985      325.288000
    23     2  1985      317.259000
    24     2  1985      285.714000
    25     2  1985      285.714000
    26     2  1985      281.836000
    27     2  1985      277.973000
    28     2  1985      277.973000
     1     3  1985      277.973000
     2     3  1985      277.973000
     3     3  1985      266.474000
     4     3  1985      266.474000
     5     3  1985      266.474000
     6     3  1985      266.474000
     7     3  1985      266.474000
     8     3  1985      293.513000
     9     3  1985      289.606000
    10     3  1985      293.513000
    11     3  1985      293.513000
    12     3  1985      293.513000
    13     3  1985      297.435000
    14     3  1985      301.371000
    15     3  1985      293.513000
    16     3  1985      277.973000
    17     3  1985      262.671000
    18     3  1985      251.355000
    19     3  1985      243.889000
    20     3  1985      225.503000
    21     3  1985      218.262000
    22     3  1985      218.262000
    23     3  1985      218.262000
    24     3  1985      218.262000
    25     3  1985      211.087000
    26     3  1985      211.087000
    27     3  1985      211.087000
    28     3  1985      211.087000
    29     3  1985      211.087000
    30     3  1985      221.874000
    31     3  1985      240.180000
     1     4  1985      266.474000
     2     4  1985      266.474000
     3     4  1985      247.615000
     4     4  1985      247.615000
     5     4  1985      229.148000
     6     4  1985      211.087000
     7     4  1985      211.087000
     8     4  1985      211.087000
     9     4  1985      207.525000
    10     4  1985      200.452000
    11     4  1985      196.942000
    12     4  1985      176.247000
    13     4  1985      176.247000
    14     4  1985      169.494000
    15     4  1985      159.503000
    16     4  1985      159.503000
    17     4  1985      159.503000
    18     4  1985      159.503000
    19     4  1985      159.503000
    20     4  1985      152.937000
    21     4  1985      143.235000
    22     4  1985      143.235000
    23     4  1985      143.235000
    24     4  1985      143.235000
    25     4  1985      159.503000
    26     4  1985      179.652000
    27     4  1985      196.942000
    28     4  1985      218.262000
    29     4  1985      236.486000
    30     4  1985      274.125000
     1     5  1985      325.288000
     2     5  1985      357.954000
     3     5  1985      374.609000
     4     5  1985      408.543000
     5     5  1985      370.425000
     6     5  1985      391.474000
     7     5  1985      417.154000
     8     5  1985      483.294000
     9     5  1985      492.315000
    10     5  1985      452.091000
    11     5  1985      421.478000
    12     5  1985      421.478000
    13     5  1985      469.850000
    14     5  1985      732.041000
    15     5  1985      845.476000
    16     5  1985      882.508000
    17     5  1985      856.011000
    18     5  1985      845.476000
    19     5  1985      840.222000
    20     5  1985      819.297000
    21     5  1985      783.037000
    22     5  1985      757.419000
    23     5  1985      732.041000
    24     5  1985      701.908000
    25     5  1985      667.205000
    26     5  1985      742.163000
    27     5  1985      903.867000
    28     5  1985     1007.230000
    29     5  1985     1085.360000
    30     5  1985     1159.340000
    31     5  1985     1234.660000
     1     6  1985     1234.660000
     2     6  1985     1258.100000
     3     6  1985     1540.070000
     4     6  1985     1607.520000
     5     6  1985     1655.290000
     6     6  1985     1689.690000
     7     6  1985     1766.180000
     8     6  1985     1872.240000
     9     6  1985     1893.690000
    10     6  1985     1929.620000
    11     6  1985     2016.750000
    12     6  1985     2172.200000
    13     6  1985     2285.510000
    14     6  1985     2354.400000
    15     6  1985     2408.430000
    16     6  1985     2362.090000
    17     6  1985     2255.110000
    18     6  1985     2134.850000
    19     6  1985     2075.520000
    20     6  1985     2232.400000
    21     6  1985     2172.200000
    22     6  1985     1908.040000
    23     6  1985     1689.690000
    24     6  1985     1929.620000
    25     6  1985     2024.070000
    26     6  1985     2002.140000
    27     6  1985     1994.850000
    28     6  1985     2031.390000
    29     6  1985     2127.400000
    30     6  1985     1951.290000
     1     7  1985     1780.200000
     2     7  1985     1724.320000
     3     7  1985     1893.690000
     4     7  1985     2628.520000
     5     7  1985     3061.870000
     6     7  1985     2724.740000
     7     7  1985     2416.180000
     8     7  1985     2068.150000
     9     7  1985     1872.240000
    10     7  1985     1857.980000
    11     7  1985     1815.420000
    12     7  1985     1703.520000
    13     7  1985     1724.320000
    14     7  1985     1655.290000
    15     7  1985     1621.120000
    16     7  1985     1655.290000
    17     7  1985     1752.190000
    18     7  1985     2105.120000
    19     7  1985     2486.310000
    20     7  1985     2486.310000
    21     7  1985     2423.940000
    22     7  1985     2708.630000
    23     7  1985     3385.550000
    24     7  1985     3577.730000
    25     7  1985     3087.040000
    26     7  1985     2822.080000
    27     7  1985     2724.740000
    28     7  1985     2557.090000
    29     7  1985     2354.400000
    30     7  1985     2232.400000
    31     7  1985     2209.760000
     1     8  1985     2202.230000
     2     8  1985     2112.540000
     3     8  1985     1994.850000
     4     8  1985     2002.140000
     5     8  1985     2127.400000
     6     8  1985     2541.310000
     7     8  1985     3020.080000
     8     8  1985     3045.130000
     9     8  1985     3551.320000
    10     8  1985     3737.510000
    11     8  1985     3737.510000
    12     8  1985     3890.490000
    13     8  1985     3836.270000
    14     8  1985     3657.340000
    15     8  1985     3524.980000
    16     8  1985     3402.880000
    17     8  1985     3146.020000
    18     8  1985     3003.410000
    19     8  1985     3256.520000
    20     8  1985     3213.870000
    21     8  1985     3171.410000
    22     8  1985     3103.850000
    23     8  1985     3045.130000
    24     8  1985     3003.410000
    25     8  1985     3103.850000
    26     8  1985     3171.410000
    27     8  1985     3273.630000
    28     8  1985     3316.530000
    29     8  1985     3290.770000
    30     8  1985     3028.420000
    31     8  1985     2572.910000
     1     9  1985     2331.360000
     2     9  1985     2157.230000
     3     9  1985     1973.030000
     4     9  1985     1787.230000
     5     9  1985     1655.290000
     6     9  1985     1669.020000
     7     9  1985     1922.420000
     8     9  1985     2157.230000
     9     9  1985     2157.230000
    10     9  1985     2217.300000
    11     9  1985     2300.760000
    12     9  1985     2385.230000
    13     9  1985     2557.090000
    14     9  1985     2716.680000
    15     9  1985     2805.780000
    16     9  1985     2871.170000
    17     9  1985     2668.470000
    18     9  1985     2300.760000
    19     9  1985     1987.570000
    20     9  1985     1815.420000
    21     9  1985     1600.730000
    22     9  1985     1356.310000
    23     9  1985     1293.490000
    24     9  1985     1293.490000
    25     9  1985     1293.490000
    26     9  1985     1222.990000
    27     9  1985     1125.030000
    28     9  1985     1107.980000
    29     9  1985     1107.980000
    30     9  1985      990.707000
     1    10  1985      968.789000
     2    10  1985     1057.270000
     3    10  1985     1228.820000
     4    10  1985     1188.150000
     5    10  1985     1147.870000
     6    10  1985     1102.310000
     7    10  1985      990.707000
     8    10  1985      952.441000
     9    10  1985      930.765000
    10    10  1985      887.835000
    11    10  1985      850.739000
    12    10  1985      798.521000
    13    10  1985      793.350000
    14    10  1985      803.701000
    15    10  1985      840.222000
    16    10  1985      887.835000
    17    10  1985      930.765000
    18    10  1985      952.441000
    19    10  1985      968.789000
    20    10  1985      990.707000
    21    10  1985     1012.760000
    22    10  1985      963.331000
    23    10  1985      919.980000
    24    10  1985      861.293000
    25    10  1985      788.189000
    26    10  1985      752.324000
    27    10  1985      716.930000
    28    10  1985      691.943000
    29    10  1985      672.132000
