LÁBREA	-64.800	-7.252
     1     4  1985    10462.900000
     2     4  1985    10508.900000
     3     4  1985    10508.900000
     4     4  1985    10508.900000
     5     4  1985    10508.900000
     6     4  1985    10508.900000
     7     4  1985    10531.900000
     8     4  1985    10508.900000
     9     4  1985    10508.900000
    10     4  1985    10508.900000
    11     4  1985    10485.800000
    12     4  1985    10485.800000
    13     4  1985    10485.800000
    14     4  1985    10485.800000
    15     4  1985    10508.900000
    16     4  1985    10462.900000
    17     4  1985    10439.900000
    18     4  1985    10416.900000
    19     4  1985    10416.900000
    20     4  1985    10416.900000
    21     4  1985    10394.000000
    22     4  1985    10371.100000
    23     4  1985    10348.200000
    24     4  1985    10371.100000
    25     4  1985    10439.900000
    26     4  1985    10462.900000
    27     4  1985    10439.900000
    28     4  1985    10416.900000
    29     4  1985    10416.900000
    30     4  1985    10439.900000
     1     5  1985    10439.900000
     2     5  1985    10416.900000
     3     5  1985    10394.000000
     4     5  1985    10416.900000
     5     5  1985    10416.900000
     6     5  1985    10462.900000
     7     5  1985    10462.900000
     8     5  1985    10485.800000
     9     5  1985    10485.800000
    10     5  1985    10485.800000
    11     5  1985    10485.800000
    12     5  1985    10462.900000
    13     5  1985    10462.900000
    14     5  1985    10416.900000
    15     5  1985    10371.100000
    16     5  1985    10371.100000
    17     5  1985    10325.300000
    18     5  1985    10279.700000
    19     5  1985    10229.700000
    20     5  1985    10192.800000
    21     5  1985    10156.000000
    22     5  1985    10110.100000
    23     5  1985    10055.200000
    24     5  1985     9982.130000
    25     5  1985     9927.540000
    26     5  1985     9836.880000
    27     5  1985     9764.650000
    28     5  1985     9692.700000
    29     5  1985     9567.410000
    30     5  1985     9434.090000
    31     5  1985     9284.130000
     1     6  1985     9117.950000
     2     6  1985     8936.040000
     3     6  1985     8713.360000
     4     6  1985     8527.150000
     5     6  1985     8284.780000
     6     6  1985     8037.740000
     7     6  1985     7786.420000
     8     6  1985     7515.380000
     9     6  1985     7218.180000
    10     6  1985     6980.180000
    11     6  1985     6746.190000
    12     6  1985     6450.190000
    13     6  1985     6132.300000
    14     6  1985     5794.720000
    15     6  1985     5588.600000
    16     6  1985     5372.880000
    17     6  1985     5148.350000
    18     6  1985     4967.060000
    19     6  1985     4751.320000
    20     6  1985     4491.450000
    21     6  1985     4191.660000
    22     6  1985     3982.250000
    23     6  1985     3800.640000
    24     6  1985     3612.340000
    25     6  1985     3460.880000
    26     6  1985     3302.220000
    27     6  1985     3162.620000
    28     6  1985     3036.070000
    29     6  1985     2926.850000
    30     6  1985     2834.140000
     1     7  1985     2752.460000
     2     7  1985     2676.680000
     3     7  1985     2597.330000
     4     7  1985     2542.040000
     5     7  1985     2464.740000
     6     7  1985     2410.900000
     7     7  1985     2366.480000
     8     7  1985     2318.110000
     9     7  1985     2287.580000
    10     7  1985     2270.230000
    11     7  1985     2257.260000
    12     7  1985     2244.330000
    13     7  1985     2235.730000
    14     7  1985     2218.580000
    15     7  1985     2205.760000
    16     7  1985     2175.990000
    17     7  1985     2146.420000
    18     7  1985     2121.240000
    19     7  1985     2092.060000
    20     7  1985     2058.950000
    21     7  1985     2026.100000
    22     7  1985     1993.530000
    23     7  1985     1957.190000
    24     7  1985     1925.180000
    25     7  1985     1897.380000
    26     7  1985     1861.950000
    27     7  1985     1830.730000
    28     7  1985     1803.630000
    29     7  1985     1772.910000
    30     7  1985     1750.040000
    31     7  1985     1716.020000
     1     8  1985     1693.530000
     2     8  1985     1671.000000
     3     8  1985     1644.380000
     4     8  1985     1621.670000
     5     8  1985     1599.040000
     6     8  1985     1584.010000
     7     8  1985     1572.760000
     8     8  1985     1561.540000
     9     8  1985     1550.330000
    10     8  1985     1535.440000
    11     8  1985     1516.870000
    12     8  1985     1498.370000
    13     8  1985     1479.940000
    14     8  1985     1461.570000
    15     8  1985     1443.270000
    16     8  1985     1428.680000
    17     8  1985     1414.120000
    18     8  1985     1399.620000
    19     8  1985     1363.540000
    20     8  1985     1352.770000
    21     8  1985     1342.020000
    22     8  1985     1334.870000
    23     8  1985     1320.600000
    24     8  1985     1320.600000
    25     8  1985     1327.730000
    26     8  1985     1327.730000
    27     8  1985     1324.170000
    28     8  1985     1320.600000
    29     8  1985     1320.600000
    30     8  1985     1320.600000
    31     8  1985     1317.040000
     1     9  1985     1317.040000
     2     9  1985     1320.600000
     3     9  1985     1331.300000
     4     9  1985     1342.020000
     5     9  1985     1363.540000
     6     9  1985     1367.130000
     7     9  1985     1363.540000
     8     9  1985     1363.540000
     9     9  1985     1356.350000
    10     9  1985     1342.020000
    11     9  1985     1320.600000
    12     9  1985     1302.830000
    13     9  1985     1278.070000
    14     9  1985     1263.980000
    15     9  1985     1249.940000
    16     9  1985     1239.430000
    17     9  1985     1225.470000
    18     9  1985     1215.020000
    19     9  1985     1208.080000
    20     9  1985     1208.080000
    21     9  1985     1208.080000
    22     9  1985     1211.550000
    23     9  1985     1208.080000
    24     9  1985     1208.080000
