FAZENDACAJUPIRANGA	-61.037	3.438
    11    11  1984     1478.470000
    12    11  1984     1315.290000
    13    11  1984     1262.590000
    14    11  1984     1269.130000
    15    11  1984     1328.600000
    16    11  1984     1355.370000
    17    11  1984     1355.370000
    18    11  1984     1402.740000
    19    11  1984     1464.580000
    20    11  1984     1520.440000
    21    11  1984     1485.430000
    22    11  1984     1335.270000
    23    11  1984     1191.540000
    24    11  1984     1060.500000
    25    11  1984      953.061000
    26    11  1984      889.671000
    27    11  1984      844.666000
    28    11  1984      800.595000
    29    11  1984      752.146000
    30    11  1984      720.519000
     1    12  1984      704.908000
     2    12  1984      689.434000
     3    12  1984      689.434000
     4    12  1984      669.016000
     5    12  1984      648.842000
     6    12  1984      663.949000
     7    12  1984      762.808000
     8    12  1984      752.146000
     9    12  1984      710.097000
    10    12  1984      704.908000
    11    12  1984      773.531000
    12    12  1984      784.312000
    13    12  1984      795.153000
    14    12  1984      784.312000
    15    12  1984      725.752000
    16    12  1984      674.097000
    17    12  1984      619.044000
    18    12  1984      594.640000
    19    12  1984      604.355000
    20    12  1984      619.044000
    21    12  1984      614.132000
    22    12  1984      720.519000
    23    12  1984      850.240000
    24    12  1984      715.300000
    25    12  1984      575.399000
    26    12  1984      589.806000
    27    12  1984      811.525000
    28    12  1984      746.837000
    29    12  1984      762.808000
    30    12  1984      839.106000
    31    12  1984      806.053000
     1     1  1985      970.649000
     2     1  1985      901.067000
     3     1  1985      736.265000
     4     1  1985      561.134000
     5     1  1985      570.628000
     6     1  1985      609.236000
     7     1  1985      533.034000
     8     1  1985      674.097000
     9     1  1985      889.671000
    10     1  1985      768.162000
    11     1  1985      768.162000
    12     1  1985      822.513000
    13     1  1985      833.560000
    14     1  1985      773.531000
    15     1  1985      694.577000
    16     1  1985      746.837000
    17     1  1985      800.595000
    18     1  1985      855.830000
    19     1  1985      778.914000
    20     1  1985      694.577000
    21     1  1985      658.898000
    22     1  1985      648.842000
    23     1  1985      619.044000
    24     1  1985      609.236000
    25     1  1985      609.236000
    26     1  1985      584.988000
    27     1  1985      565.873000
    28     1  1985      551.704000
    29     1  1985      537.677000
    30     1  1985      528.407000
    31     1  1985      519.200000
     1     2  1985      519.200000
     2     2  1985      514.621000
     3     2  1985      514.621000
     4     2  1985      491.968000
     5     2  1985      447.890000
     6     2  1985      447.890000
     7     2  1985      439.273000
     8     2  1985      430.722000
     9     2  1985      426.472000
    10     2  1985      422.239000
    11     2  1985      413.823000
    12     2  1985      405.474000
    13     2  1985      397.193000
    14     2  1985      397.193000
    15     2  1985      393.078000
    16     2  1985      376.790000
    17     2  1985      368.749000
    18     2  1985      352.875000
    19     2  1985      348.950000
    20     2  1985      341.152000
    21     2  1985      329.588000
    22     2  1985      321.967000
    23     2  1985      314.417000
    24     2  1985      306.939000
    25     2  1985      303.226000
    26     2  1985      299.532000
    27     2  1985      303.226000
    28     2  1985      306.939000
     1     3  1985      292.197000
     2     3  1985      281.332000
     3     3  1985      274.179000
     4     3  1985      270.630000
     5     3  1985      284.935000
     6     3  1985      306.939000
     7     3  1985      314.417000
     8     3  1985      310.669000
     9     3  1985      306.939000
    10     3  1985      299.532000
    11     3  1985      310.669000
    12     3  1985      321.967000
    13     3  1985      310.669000
    14     3  1985      295.855000
    15     3  1985      292.197000
    16     3  1985      281.332000
    17     3  1985      267.100000
    18     3  1985      260.095000
    19     3  1985      256.620000
    20     3  1985      249.727000
    21     3  1985      236.165000
    22     3  1985      236.165000
    23     3  1985      242.908000
    24     3  1985      242.908000
    25     3  1985      249.727000
    26     3  1985      253.164000
    27     3  1985      236.165000
    28     3  1985      222.906000
    29     3  1985      229.497000
    30     3  1985      256.620000
    31     3  1985      263.588000
     1     4  1985      295.855000
     2     4  1985      292.197000
     3     4  1985      270.630000
     4     4  1985      239.527000
     5     4  1985      226.192000
     6     4  1985      229.497000
     7     4  1985      232.822000
     8     4  1985      226.192000
     9     4  1985      219.639000
    10     4  1985      203.594000
    11     4  1985      191.109000
    12     4  1985      188.037000
    13     4  1985      194.201000
    14     4  1985      197.312000
    15     4  1985      191.109000
    16     4  1985      175.948000
    17     4  1985      167.093000
    18     4  1985      191.109000
    19     4  1985      188.037000
    20     4  1985      181.953000
    21     4  1985      178.941000
    22     4  1985      178.941000
    23     4  1985      178.941000
    24     4  1985      184.985000
    25     4  1985      197.312000
    26     4  1985      213.163000
    27     4  1985      226.192000
    28     4  1985      239.527000
    29     4  1985      263.588000
    30     4  1985      295.855000
     1     5  1985      295.855000
     2     5  1985      306.939000
     3     5  1985      356.818000
     4     5  1985      345.043000
     5     5  1985      356.818000
     6     5  1985      376.790000
     7     5  1985      434.989000
     8     5  1985      469.723000
     9     5  1985      505.511000
    10     5  1985      519.200000
    11     5  1985      523.795000
    12     5  1985      584.988000
    13     5  1985      736.265000
    14     5  1985      773.531000
    15     5  1985      746.837000
    16     5  1985      684.307000
    17     5  1985      589.806000
    18     5  1985      551.704000
    19     5  1985      561.134000
    20     5  1985      584.988000
    21     5  1985      643.837000
    22     5  1985      619.044000
    23     5  1985      556.411000
    24     5  1985      604.355000
    25     5  1985      715.300000
    26     5  1985      958.909000
    27     5  1985      970.649000
    28     5  1985      895.361000
    29     5  1985     1042.280000
    30     5  1985     1308.650000
    31     5  1985     1103.500000
     1     6  1985     1024.180000
     2     6  1985     1006.210000
     3     6  1985     1060.500000
     4     6  1985     1153.480000
     5     6  1985     1591.440000
     6     6  1985     1903.490000
     7     6  1985     2051.870000
     8     6  1985     2099.640000
     9     6  1985     2412.270000
    10     6  1985     2566.330000
    11     6  1985     2549.030000
    12     6  1985     2353.390000
    13     6  1985     2220.990000
    14     6  1985     2147.850000
    15     6  1985     2123.690000
    16     6  1985     1957.640000
    17     6  1985     1729.850000
    18     6  1985     1506.400000
    19     6  1985     1315.290000
    20     6  1985     1210.760000
    21     6  1985     1178.800000
    22     6  1985     1197.940000
    23     6  1985     1172.450000
    24     6  1985     1172.450000
    25     6  1985     1341.960000
    26     6  1985     1262.590000
    27     6  1985     1230.100000
    28     6  1985     1457.660000
    29     6  1985     1302.030000
    30     6  1985     1134.640000
     1     7  1985     1122.140000
     2     7  1985     1054.410000
     3     7  1985     1436.960000
     4     7  1985     2036.040000
     5     7  1985     1797.010000
     6     7  1985     1627.410000
     7     7  1985     1382.360000
     8     7  1985     1204.340000
     9     7  1985     1166.120000
    10     7  1985     1204.340000
    11     7  1985     1066.600000
    12     7  1985     1109.700000
    13     7  1985     1072.720000
    14     7  1985     1018.170000
    15     7  1985     1042.280000
    16     7  1985     1060.500000
    17     7  1985     1197.940000
    18     7  1985     1562.880000
    19     7  1985     1605.790000
    20     7  1985     1534.540000
    21     7  1985     1548.690000
    22     7  1985     1988.850000
    23     7  1985     2412.270000
    24     7  1985     2051.870000
    25     7  1985     1812.070000
    26     7  1985     1759.570000
    27     7  1985     1678.320000
    28     7  1985     1541.610000
    29     7  1985     1423.230000
    30     7  1985     1402.740000
    31     7  1985     1409.560000
     1     8  1985     1375.590000
     2     8  1985     1288.830000
     3     8  1985     1230.100000
     4     8  1985     1335.270000
     5     8  1985     1375.590000
     6     8  1985     1996.690000
     7     8  1985     1789.490000
     8     8  1985     2164.020000
     9     8  1985     2403.830000
    10     8  1985     2320.000000
    11     8  1985     2463.200000
    12     8  1985     2480.270000
    13     8  1985     2361.770000
    14     8  1985     2262.030000
    15     8  1985     2204.650000
    16     8  1985     2083.670000
    17     8  1985     1857.550000
    18     8  1985     1981.030000
    19     8  1985     2212.810000
    20     8  1985     2020.260000
    21     8  1985     1849.940000
    22     8  1985     1827.180000
    23     8  1985     1812.070000
    24     8  1985     1918.900000
    25     8  1985     1988.850000
    26     8  1985     2123.690000
    27     8  1985     2437.680000
    28     8  1985     2155.930000
    29     8  1985     2028.150000
    30     8  1985     1888.130000
    31     8  1985     1895.800000
     1     9  1985     1781.990000
     2     9  1985     1649.160000
     3     9  1985     1485.430000
     4     9  1985     1368.840000
     5     9  1985     1302.030000
     6     9  1985     1416.390000
     7     9  1985     1570.000000
     8     9  1985     1457.660000
     9     9  1985     1382.360000
    10     9  1985     1541.610000
    11     9  1985     1842.340000
    12     9  1985     2361.770000
    13     9  1985     2463.200000
    14     9  1985     2514.560000
    15     9  1985     2353.390000
    16     9  1985     2172.120000
    17     9  1985     1903.490000
    18     9  1985     1627.410000
    19     9  1985     1375.590000
    20     9  1985     1236.570000
    21     9  1985     1109.700000
    22     9  1985     1048.340000
    23     9  1985     1103.500000
    24     9  1985     1103.500000
    25     9  1985     1042.280000
    26     9  1985      976.540000
    27     9  1985      935.600000
    28     9  1985      883.994000
    29     9  1985      844.666000
    30     9  1985      817.011000
     1    10  1985      828.029000
     2    10  1985      941.406000
     3    10  1985      918.269000
     4    10  1985      958.909000
     5    10  1985      912.521000
     6    10  1985      844.666000
     7    10  1985      817.011000
     8    10  1985      795.153000
     9    10  1985      773.531000
    10    10  1985      757.470000
    11    10  1985      725.752000
    12    10  1985      694.577000
    13    10  1985      679.194000
    14    10  1985      658.898000
    15    10  1985      643.837000
    16    10  1985      623.971000
    17    10  1985      609.236000
    18    10  1985      589.806000
    19    10  1985      715.300000
    20    10  1985      795.153000
    21    10  1985      817.011000
    22    10  1985      811.525000
    23    10  1985      795.153000
    24    10  1985      746.837000
    25    10  1985      684.307000
    26    10  1985      633.873000
    27    10  1985      604.355000
    28    10  1985      589.806000
    29    10  1985      594.640000
    30    10  1985      609.236000
    31    10  1985      604.355000
     1    11  1985      653.862000
     2    11  1985      982.445000
     3    11  1985     1375.590000
