ASSISBRASIL	-69.550	-10.933
     2     9  1985        6.690000
     3     9  1985        6.030000
     4     9  1985        5.400000
     5     9  1985        4.800000
     6     9  1985        4.420000
     7     9  1985        4.240000
     8     9  1985        4.060000
     9     9  1985        5.000000
    10     9  1985        4.800000
    11     9  1985        4.800000
    12     9  1985        7.160000
    13     9  1985        6.690000
    14     9  1985        6.920000
    15     9  1985        9.440000
    16     9  1985        9.440000
    17     9  1985        6.470000
    18     9  1985        7.880000
    19     9  1985        8.390000
    20     9  1985        7.400000
    21     9  1985        9.720000
    22     9  1985        9.440000
    23     9  1985       10.280000
    24     9  1985        9.440000
    25     9  1985       21.430000
    26     9  1985       23.990000
    27     9  1985       19.030000
    28     9  1985       22.270000
    29     9  1985       10.280000
    30     9  1985        7.640000
     1    10  1985        6.920000
     2    10  1985        6.690000
     3    10  1985        5.810000
     4    10  1985       61.160000
     5    10  1985       52.320000
     6    10  1985       24.430000
     7    10  1985       15.340000
     8    10  1985       11.150000
     9    10  1985       11.750000
    10    10  1985        8.650000
    11    10  1985        7.640000
    12    10  1985        8.650000
    13    10  1985        8.650000
    14    10  1985       10.560000
    15    10  1985       11.150000
    16    10  1985        8.650000
    17    10  1985        9.440000
    18    10  1985       14.310000
    19    10  1985       20.610000
    20    10  1985       14.310000
    21    10  1985        8.130000
    22    10  1985        7.400000
    23    10  1985        6.920000
    24    10  1985        8.650000
    25    10  1985       12.680000
    26    10  1985        9.720000
    27    10  1985        7.160000
    28    10  1985        7.880000
    29    10  1985        9.440000
    30    10  1985        8.130000
    31    10  1985       35.680000
     1    11  1985      131.120000
     2    11  1985       49.750000
     3    11  1985       59.060000
     4    11  1985      103.570000
     5    11  1985      149.470000
     6    11  1985      142.850000
     7    11  1985       61.870000
     8    11  1985       46.010000
     9    11  1985       34.090000
    10    11  1985       20.610000
    11    11  1985       17.880000
    12    11  1985       22.690000
    13    11  1985      179.910000
    14    11  1985      124.930000
    15    11  1985      179.910000
    16    11  1985      155.100000
    17    11  1985       85.070000
    18    11  1985       56.990000
    19    11  1985       49.110000
    20    11  1985       35.150000
    21    11  1985       35.680000
    22    11  1985       31.020000
    23    11  1985       33.570000
    24    11  1985       35.680000
    25    11  1985       33.570000
    26    11  1985      172.630000
    27    11  1985       99.900000
    28    11  1985       98.990000
    29    11  1985       75.340000
    30    11  1985       51.030000
     1    12  1985       35.680000
     2    12  1985       25.320000
