EIRUNEPÉ-MONTANTE	-69.881	-6.684
    12     7  1985      765.800000
    13     7  1985      760.100000
    14     7  1985      758.200000
    15     7  1985      763.900000
    16     7  1985      763.900000
    17     7  1985      756.300000
    18     7  1985      746.800000
    19     7  1985      724.000000
    20     7  1985      706.900000
    21     7  1985      690.600000
    22     7  1985      669.000000
    23     7  1985      649.200000
    24     7  1985      625.800000
    25     7  1985      604.800000
    26     7  1985      581.000000
    27     7  1985      557.200000
    28     7  1985      533.400000
    29     7  1985      510.800000
    30     7  1985      486.800000
    31     7  1985      462.800000
     1     8  1985      450.000000
     2     8  1985      448.400000
     3     8  1985      443.600000
     4     8  1985      435.600000
     5     8  1985      429.200000
     6     8  1985      424.400000
     7     8  1985      422.800000
     8     8  1985      424.400000
     9     8  1985      422.800000
    10     8  1985      426.000000
    11     8  1985      435.600000
    12     8  1985      442.000000
    13     8  1985      442.000000
    14     8  1985      442.000000
    15     8  1985      442.000000
    16     8  1985      437.200000
    17     8  1985      430.800000
    18     8  1985      426.000000
    19     8  1985      424.400000
    20     8  1985      427.600000
    21     8  1985      434.000000
    22     8  1985      442.000000
    23     8  1985      450.000000
    24     8  1985      456.400000
    25     8  1985      456.400000
    26     8  1985      450.000000
    27     8  1985      437.200000
    28     8  1985      434.000000
    29     8  1985      432.400000
    30     8  1985      437.200000
    31     8  1985      456.400000
     1     9  1985      485.200000
     2     9  1985      498.000000
     3     9  1985      501.200000
     4     9  1985      502.800000
     5     9  1985      501.200000
     6     9  1985      501.200000
     7     9  1985      504.400000
     8     9  1985      512.400000
     9     9  1985      515.600000
    10     9  1985      510.800000
    11     9  1985      504.400000
    12     9  1985      493.200000
    13     9  1985      474.000000
    14     9  1985      453.200000
    15     9  1985      430.800000
    16     9  1985      422.800000
    17     9  1985      422.800000
    18     9  1985      427.600000
    19     9  1985      432.400000
    20     9  1985      430.800000
    21     9  1985      438.800000
    22     9  1985      446.800000
    23     9  1985      459.600000
    24     9  1985      483.600000
    25     9  1985      498.000000
    26     9  1985      510.800000
    27     9  1985      526.800000
    28     9  1985      570.800000
    29     9  1985      598.000000
    30     9  1985      611.600000
     1    10  1985      613.300000
     2    10  1985      606.500000
     3    10  1985      598.000000
     4    10  1985      606.500000
     5    10  1985      615.000000
     6    10  1985      618.600000
     7    10  1985      633.000000
     8    10  1985      669.000000
     9    10  1985      739.200000
    10    10  1985      817.100000
    11    10  1985      879.800000
    12    10  1985      947.000000
