CAREIRO	-59.833	-3.196
    17     2  2002     9905.180000
    18     2  2002    10079.000000
    19     2  2002    10255.000000
    20     2  2002    10397.100000
    21     2  2002    10576.700000
    22     2  2002    10721.800000
    23     2  2002    10831.500000
    24     2  2002    10923.500000
    25     2  2002    11016.100000
    26     2  2002    11109.100000
    27     2  2002    11183.900000
    28     2  2002    11259.100000
     1     3  2002    11334.500000
     2     3  2002    11448.400000
     3     3  2002    11563.000000
     4     3  2002    11639.800000
     5     3  2002    11736.300000
     6     3  2002    11872.400000
     7     3  2002    11970.200000
     8     3  2002    12088.200000
     9     3  2002    12187.200000
    10     3  2002    12286.700000
    11     3  2002    12386.800000
    12     3  2002    12487.300000
    13     3  2002    12588.500000
    14     3  2002    12710.600000
    15     3  2002    12854.000000
    16     3  2002    12977.800000
    17     3  2002    13081.600000
    18     3  2002    13185.900000
    19     3  2002    13290.800000
    20     3  2002    13396.200000
    21     3  2002    13523.400000
    22     3  2002    13694.300000
    23     3  2002    13866.700000
    24     3  2002    13996.900000
    25     3  2002    14106.000000
    26     3  2002    14171.800000
    27     3  2002    14281.800000
    28     3  2002    14348.100000
    29     3  2002    14414.600000
    30     3  2002    14503.500000
    31     3  2002    14660.100000
     1     4  2002    14772.700000
     2     4  2002    14863.100000
     3     4  2002    14976.700000
     4     4  2002    15113.700000
     5     4  2002    15297.800000
     6     4  2002    15506.600000
     7     4  2002    15646.800000
     8     4  2002    15764.400000
     9     4  2002    15906.200000
    10     4  2002    16144.400000
    11     4  2002    16288.500000
    12     4  2002    16385.000000
    13     4  2002    16481.900000
    14     4  2002    16652.400000
    15     4  2002    16799.500000
    16     4  2002    16922.700000
    17     4  2002    16996.900000
    18     4  2002    17121.100000
    19     4  2002    17220.900000
    20     4  2002    17371.300000
    21     4  2002    17522.600000
    22     4  2002    17674.700000
    23     4  2002    17802.200000
    24     4  2002    17981.700000
    25     4  2002    18162.300000
    26     4  2002    18344.200000
    27     4  2002    18501.100000
    28     4  2002    18632.500000
    29     4  2002    18764.500000
    30     4  2002    18817.500000
     1     5  2002    18950.400000
     2     5  2002    19030.400000
     3     5  2002    19164.300000
     4     5  2002    19298.800000
     5     5  2002    19434.000000
     6     5  2002    19542.500000
     7     5  2002    19651.500000
     8     5  2002    19760.900000
     9     5  2002    19870.700000
    10     5  2002    19980.900000
    11     5  2002    20119.200000
