SANTOANTÔNIODOIÇÁ	-67.933	-3.083
    20     9  1984    37734.900000
    21     9  1984    37611.000000
    22     9  1984    37487.400000
    23     9  1984    37281.600000
    24     9  1984    36912.500000
    25     9  1984    36341.200000
    26     9  1984    35895.000000
    27     9  1984    35370.500000
    28     9  1984    34889.200000
    29     9  1984    34291.400000
    30     9  1984    33776.800000
     1    10  1984    33383.100000
     2    10  1984    32913.200000
     3    10  1984    32446.000000
     4    10  1984    32174.800000
     5    10  1984    32601.400000
     6    10  1984    32991.300000
     7    10  1984    33383.100000
     8    10  1984    33776.800000
     9    10  1984    34251.700000
    10    10  1984    34809.300000
    11    10  1984    35451.000000
    12    10  1984    36016.500000
    13    10  1984    36504.100000
    14    10  1984    36994.400000
    15    10  1984    37322.700000
    16    10  1984    37734.900000
    17    10  1984    38292.700000
    18    10  1984    38918.400000
    19    10  1984    39499.700000
    20    10  1984    40084.500000
    21    10  1984    40623.700000
    22    10  1984    41067.100000
    23    10  1984    41413.300000
    24    10  1984    41661.300000
    25    10  1984    42159.200000
    26    10  1984    42759.900000
    27    10  1984    43465.100000
    28    10  1984    44327.800000
    29    10  1984    45300.200000
    30    10  1984    46074.000000
    31    10  1984    46540.900000
     1    11  1984    46905.400000
     2    11  1984    47114.200000
     3    11  1984    47114.200000
     4    11  1984    46749.000000
     5    11  1984    46333.200000
     6    11  1984    45918.800000
     7    11  1984    45506.000000
     8    11  1984    44992.200000
     9    11  1984    44378.700000
    10    11  1984    43465.100000
    11    11  1984    42409.100000
    12    11  1984    41363.800000
    13    11  1984    40182.300000
    14    11  1984    38966.700000
    15    11  1984    37569.800000
    16    11  1984    36667.200000
    17    11  1984    35773.700000
    18    11  1984    35330.300000
    19    11  1984    34969.300000
    20    11  1984    34889.200000
    21    11  1984    34729.400000
    22    11  1984    34689.500000
    23    11  1984    34649.600000
    24    11  1984    34649.600000
    25    11  1984    34929.200000
    26    11  1984    35209.800000
    27    11  1984    35773.700000
    28    11  1984    36585.600000
    29    11  1984    37611.000000
    30    11  1984    38918.400000
     1    12  1984    40378.300000
     2    12  1984    42109.300000
     3    12  1984    44175.000000
     4    12  1984    46022.300000
     5    12  1984    47900.600000
     6    12  1984    49382.800000
     7    12  1984    50991.500000
     8    12  1984    52402.800000
     9    12  1984    53499.200000
    10    12  1984    54493.900000
    11    12  1984    55384.500000
    12    12  1984    56224.700000
    13    12  1984    56731.400000
    14    12  1984    57126.800000
    15    12  1984    57580.000000
    16    12  1984    57807.100000
    17    12  1984    57920.900000
    18    12  1984    58205.600000
    19    12  1984    58548.000000
    20    12  1984    58662.300000
    21    12  1984    58662.300000
    22    12  1984    58776.700000
    23    12  1984    58776.700000
    24    12  1984    58662.300000
    25    12  1984    58548.000000
    26    12  1984    58433.800000
    27    12  1984    58433.800000
    28    12  1984    58548.000000
    29    12  1984    58776.700000
    30    12  1984    59063.100000
    31    12  1984    59350.100000
     1     1  1985    59695.300000
     2     1  1985    60156.800000
     3     1  1985    60619.700000
     4     1  1985    60967.900000
     5     1  1985    61200.500000
     6     1  1985    61550.000000
     7     1  1985    61725.100000
     8     1  1985    61958.900000
     9     1  1985    62075.900000
    10     1  1985    62134.400000
    11     1  1985    62134.400000
    12     1  1985    61841.900000
    13     1  1985    61608.400000
    14     1  1985    61200.500000
    15     1  1985    60677.700000
    16     1  1985    59983.600000
    17     1  1985    59005.800000
    18     1  1985    57920.900000
    19     1  1985    56900.700000
    20     1  1985    55719.900000
    21     1  1985    54216.800000
    22     1  1985    53224.200000
    23     1  1985    52402.800000
    24     1  1985    51207.600000
    25     1  1985    49809.700000
    26     1  1985    48111.200000
    27     1  1985    46437.000000
    28     1  1985    44685.000000
    29     1  1985    43061.500000
    30     1  1985    41959.800000
    31     1  1985    40869.800000
     1     2  1985    39596.900000
     2     2  1985    38484.800000
     3     2  1985    37569.800000
     4     2  1985    36504.100000
     5     2  1985    35935.500000
     6     2  1985    35330.300000
     7     2  1985    34889.200000
     8     2  1985    34689.500000
     9     2  1985    34649.600000
    10     2  1985    34969.300000
    11     2  1985    35209.800000
    12     2  1985    35531.600000
    13     2  1985    36016.500000
    14     2  1985    36463.300000
    15     2  1985    36789.800000
    16     2  1985    37158.400000
    17     2  1985    37569.800000
    18     2  1985    37776.200000
    19     2  1985    37900.300000
    20     2  1985    38148.900000
    21     2  1985    38581.000000
    22     2  1985    39402.600000
    23     2  1985    40133.400000
    24     2  1985    41165.900000
    25     2  1985    41661.300000
    26     2  1985    42159.200000
    27     2  1985    42359.100000
    28     2  1985    42459.100000
     1     3  1985    42359.100000
     2     3  1985    42159.200000
     3     3  1985    41760.700000
     4     3  1985    41314.300000
     5     3  1985    40919.100000
     6     3  1985    40574.600000
     7     3  1985    40574.600000
     8     3  1985    40869.800000
     9     3  1985    41512.400000
    10     3  1985    42159.200000
    11     3  1985    43061.500000
    12     3  1985    44073.300000
    13     3  1985    45506.000000
    14     3  1985    46644.900000
    15     3  1985    47742.900000
    16     3  1985    48533.500000
    17     3  1985    49276.300000
    18     3  1985    49809.700000
    19     3  1985    50077.300000
    20     3  1985    50452.900000
    21     3  1985    50883.600000
    22     3  1985    50991.500000
    23     3  1985    50991.500000
    24     3  1985    50829.600000
    25     3  1985    50614.200000
    26     3  1985    50291.800000
    27     3  1985    49809.700000
    28     3  1985    49382.800000
    29     3  1985    49010.500000
    30     3  1985    48692.300000
    31     3  1985    48216.600000
     1     4  1985    48005.800000
     2     4  1985    47900.600000
     3     4  1985    47690.300000
     4     4  1985    47480.500000
     5     4  1985    47585.400000
     6     4  1985    47795.400000
     7     4  1985    48163.900000
     8     4  1985    48533.500000
     9     4  1985    48957.400000
    10     4  1985    49489.400000
    11     4  1985    50023.700000
    12     4  1985    50452.900000
    13     4  1985    51207.600000
    14     4  1985    51966.800000
    15     4  1985    52621.300000
    16     4  1985    53279.100000
    17     4  1985    53829.900000
    18     4  1985    54272.200000
    19     4  1985    54716.000000
    20     4  1985    55217.000000
    21     4  1985    55831.900000
    22     4  1985    56280.900000
    23     4  1985    56506.000000
    24     4  1985    56618.600000
    25     4  1985    56731.400000
    26     4  1985    56957.200000
    27     4  1985    57239.900000
    28     4  1985    57580.000000
    29     4  1985    57807.100000
    30     4  1985    58034.700000
     1     5  1985    58262.600000
     2     5  1985    58490.900000
     3     5  1985    58662.300000
     4     5  1985    58662.300000
     5     5  1985    58662.300000
     6     5  1985    58776.700000
     7     5  1985    59005.800000
     8     5  1985    59005.800000
     9     5  1985    58891.200000
    10     5  1985    58776.700000
    11     5  1985    59120.500000
    12     5  1985    59292.700000
    13     5  1985    59063.100000
    14     5  1985    58719.500000
    15     5  1985    58319.600000
    16     5  1985    58319.600000
    17     5  1985    58034.700000
    18     5  1985    57807.100000
    19     5  1985    57636.700000
    20     5  1985    57523.200000
    21     5  1985    57296.500000
    22     5  1985    57013.700000
