JATUARANA	-59.678	-3.052
    20     5  1985     1412.000000
    21     5  1985     1418.000000
    22     5  1985     1424.000000
    23     5  1985     1431.000000
    24     5  1985     1434.000000
    25     5  1985     1437.000000
    26     5  1985     1442.000000
    27     5  1985     1444.000000
    28     5  1985     1448.000000
    29     5  1985     1453.000000
    30     5  1985     1456.000000
    31     5  1985     1460.000000
     1     6  1985     1462.000000
     2     6  1985     1464.000000
     3     6  1985     1468.000000
     4     6  1985     1472.000000
     5     6  1985     1476.000000
     6     6  1985     1480.000000
     7     6  1985     1482.000000
     8     6  1985     1486.000000
     9     6  1985     1490.000000
    10     6  1985     1496.000000
    11     6  1985     1500.000000
    12     6  1985     1502.000000
    13     6  1985     1505.000000
    14     6  1985     1509.000000
    15     6  1985     1514.000000
    16     6  1985     1516.000000
    17     6  1985     1518.000000
    18     6  1985     1522.000000
    19     6  1985     1529.000000
    20     6  1985     1534.000000
    21     6  1985     1538.000000
    22     6  1985     1542.000000
    23     6  1985     1546.000000
    24     6  1985     1550.000000
    25     6  1985     1554.000000
    26     6  1985     1556.000000
    27     6  1985     1555.000000
    28     6  1985     1555.000000
    29     6  1985     1554.000000
    30     6  1985     1552.000000
     1     7  1985     1552.000000
     2     7  1985     1551.000000
     3     7  1985     1550.000000
     4     7  1985     1549.000000
     5     7  1985     1548.000000
     6     7  1985     1546.000000
     7     7  1985     1544.000000
     8     7  1985     1542.000000
     9     7  1985     1540.000000
    10     7  1985     1538.000000
    11     7  1985     1536.000000
    12     7  1985     1534.000000
    13     7  1985     1532.000000
    14     7  1985     1530.000000
    15     7  1985     1528.000000
    16     7  1985     1526.000000
    17     7  1985     1522.000000
    18     7  1985     1518.000000
    19     7  1985     1514.000000
    20     7  1985     1510.000000
    21     7  1985     1506.000000
    22     7  1985     1502.000000
    23     7  1985     1500.000000
    24     7  1985     1497.000000
    25     7  1985     1493.000000
    26     7  1985     1489.000000
    27     7  1985     1486.000000
    28     7  1985     1482.000000
    29     7  1985     1478.000000
    30     7  1985     1474.000000
    31     7  1985     1470.000000
     1     8  1985     1466.000000
     2     8  1985     1463.000000
     3     8  1985     1459.000000
     4     8  1985     1455.000000
     5     8  1985     1452.000000
     6     8  1985     1449.000000
     7     8  1985     1445.000000
     8     8  1985     1441.000000
     9     8  1985     1437.000000
    10     8  1985     1433.000000
    11     8  1985     1429.000000
    12     8  1985     1426.000000
    13     8  1985     1423.000000
    14     8  1985     1419.000000
    15     8  1985     1415.000000
    16     8  1985     1411.000000
    17     8  1985     1407.000000
    18     8  1985     1402.000000
    19     8  1985     1398.000000
    20     8  1985     1394.000000
    21     8  1985     1390.000000
    22     8  1985     1386.000000
    23     8  1985     1382.000000
    24     8  1985     1378.000000
    25     8  1985     1376.000000
    26     8  1985     1372.000000
    27     8  1985     1368.000000
    28     8  1985     1366.000000
    29     8  1985     1364.000000
    30     8  1985     1360.000000
    31     8  1985     1355.000000
     1     9  1985     1347.000000
     2     9  1985     1339.000000
     3     9  1985     1333.000000
     4     9  1985     1327.000000
     5     9  1985     1324.000000
     6     9  1985     1318.000000
     7     9  1985     1314.000000
     8     9  1985     1310.000000
     9     9  1985     1306.000000
    10     9  1985     1302.000000
    11     9  1985     1295.000000
    12     9  1985     1285.000000
    13     9  1985     1275.000000
    14     9  1985     1269.000000
    15     9  1985     1261.000000
    16     9  1985     1253.000000
    17     9  1985     1242.000000
    18     9  1985     1236.000000
    19     9  1985     1231.000000
    20     9  1985     1223.000000
    21     9  1985     1215.000000
    22     9  1985     1206.000000
    23     9  1985     1196.000000
    24     9  1985     1188.000000
    25     9  1985     1180.000000
    26     9  1985     1173.000000
    27     9  1985     1166.000000
    28     9  1985     1158.000000
    29     9  1985     1150.000000
    30     9  1985     1142.000000
     1    10  1985     1131.000000
     2    10  1985     1115.000000
