CACHOEIRAMORENA	-59.335	-2.114
    11     8  1985      339.000000
    12     8  1985      358.000000
    13     8  1985      374.000000
    14     8  1985      387.000000
    15     8  1985      394.000000
    16     8  1985      392.000000
    17     8  1985      384.000000
    18     8  1985      378.000000
    19     8  1985      371.000000
    20     8  1985      365.000000
    21     8  1985      361.000000
    22     8  1985      357.000000
    23     8  1985      351.000000
    24     8  1985      348.000000
    25     8  1985      346.000000
    26     8  1985      346.000000
    27     8  1985      350.000000
    28     8  1985      352.000000
    29     8  1985      355.000000
    30     8  1985      357.000000
    31     8  1985      360.000000
     1     9  1985      359.000000
     2     9  1985      355.000000
     3     9  1985      350.000000
     4     9  1985      343.000000
     5     9  1985      339.000000
     6     9  1985      340.000000
     7     9  1985      343.000000
     8     9  1985      346.000000
     9     9  1985      353.000000
    10     9  1985      356.000000
    11     9  1985      354.000000
    12     9  1985      352.000000
    13     9  1985      345.000000
    14     9  1985      339.000000
    15     9  1985      337.000000
    16     9  1985      334.000000
    17     9  1985      331.000000
    18     9  1985      323.000000
    19     9  1985      317.000000
    20     9  1985      313.000000
    21     9  1985      309.000000
    22     9  1985      305.000000
    23     9  1985      302.000000
    24     9  1985      309.000000
    25     9  1985      314.000000
    26     9  1985      321.000000
    27     9  1985      323.000000
    28     9  1985      320.000000
    29     9  1985      314.000000
    30     9  1985      311.000000
     1    10  1985      320.000000
     2    10  1985      337.000000
     3    10  1985      347.000000
     4    10  1985      344.000000
     5    10  1985      337.000000
     6    10  1985      328.000000
     7    10  1985      318.000000
     8    10  1985      310.000000
     9    10  1985      305.000000
    10    10  1985      303.000000
    11    10  1985      301.000000
    12    10  1985      299.000000
    13    10  1985      296.000000
    14    10  1985      295.000000
    15    10  1985      295.000000
    16    10  1985      297.000000
    17    10  1985      297.000000
    18    10  1985      298.000000
    19    10  1985      302.000000
    20    10  1985      305.000000
    21    10  1985      308.000000
    22    10  1985      311.000000
    23    10  1985      312.000000
    24    10  1985      308.000000
    25    10  1985      301.000000
    26    10  1985      295.000000
    27    10  1985      291.000000
    28    10  1985      287.000000
    29    10  1985      285.000000
    30    10  1985      288.000000
    31    10  1985      298.000000
     1    11  1985      311.000000
     2    11  1985      327.000000
     3    11  1985      328.000000
     4    11  1985      321.000000
     5    11  1985      314.000000
     6    11  1985      308.000000
     7    11  1985      302.000000
     8    11  1985      299.000000
     9    11  1985      298.000000
    10    11  1985      298.000000
    11    11  1985      304.000000
    12    11  1985      309.000000
    13    11  1985      314.000000
    14    11  1985      322.000000
    15    11  1985      326.000000
    16    11  1985      323.000000
    17    11  1985      320.000000
    18    11  1985      317.000000
    19    11  1985      314.000000
    20    11  1985      311.000000
    21    11  1985      307.000000
    22    11  1985      305.000000
    23    11  1985      312.000000
    24    11  1985      313.000000
    25    11  1985      317.000000
    26    11  1985      319.000000
    27    11  1985      314.000000
    28    11  1985      317.000000
    29    11  1985      320.000000
    30    11  1985      323.000000
     1    12  1985      326.000000
