PALMEIRASDOJAVARI	-72.800	-5.133
     6     8  1985      736.000000
     7     8  1985      695.000000
     8     8  1985      662.000000
     9     8  1985      632.000000
    10     8  1985      612.000000
    11     8  1985      606.000000
    12     8  1985      601.000000
    13     8  1985      608.000000
    14     8  1985      621.000000
    15     8  1985      620.000000
    16     8  1985      611.000000
    17     8  1985      590.000000
    18     8  1985      588.000000
    19     8  1985      580.000000
    20     8  1985      600.000000
    21     8  1985      638.000000
    22     8  1985      686.000000
    23     8  1985      719.000000
    24     8  1985      724.000000
    25     8  1985      707.000000
    26     8  1985      676.000000
    27     8  1985      651.000000
    28     8  1985      634.000000
    29     8  1985      628.000000
    30     8  1985      663.000000
    31     8  1985      712.000000
     1     9  1985      761.000000
     2     9  1985      768.000000
     3     9  1985      743.000000
     4     9  1985      722.000000
     5     9  1985      739.000000
     6     9  1985      750.000000
     7     9  1985      744.000000
     8     9  1985      729.000000
     9     9  1985      704.000000
    10     9  1985      666.000000
    11     9  1985      632.000000
    12     9  1985      602.000000
    13     9  1985      573.000000
    14     9  1985      558.000000
    15     9  1985      596.000000
    16     9  1985      580.000000
    17     9  1985      572.000000
    18     9  1985      590.000000
    19     9  1985      602.000000
    20     9  1985      620.000000
    21     9  1985      656.000000
    22     9  1985      714.000000
    23     9  1985      742.000000
    24     9  1985      744.000000
    25     9  1985      783.000000
    26     9  1985      840.000000
    27     9  1985      892.000000
    28     9  1985      912.000000
    29     9  1985      911.000000
    30     9  1985      938.000000
     1    10  1985      994.000000
     2    10  1985     1028.000000
     3    10  1985     1032.000000
     4    10  1985     1046.000000
     5    10  1985     1121.000000
     6    10  1985     1216.000000
     7    10  1985     1265.000000
     8    10  1985     1284.000000
     9    10  1985     1300.000000
    10    10  1985     1313.000000
    11    10  1985     1320.000000
    12    10  1985     1328.000000
    13    10  1985     1336.000000
    14    10  1985     1340.000000
    15    10  1985     1337.000000
    16    10  1985     1324.000000
    17    10  1985     1286.000000
