TEFÉ	-64.655	-3.376
     9     2  1985      724.000000
    10     2  1985      710.000000
    11     2  1985      693.000000
    12     2  1985      682.000000
    13     2  1985      669.000000
    14     2  1985      661.000000
    15     2  1985      657.000000
    16     2  1985      653.000000
    17     2  1985      652.000000
    18     2  1985      652.000000
    19     2  1985      652.000000
    20     2  1985      652.000000
    21     2  1985      652.000000
    22     2  1985      654.000000
    23     2  1985      657.000000
    24     2  1985      659.000000
    25     2  1985      662.000000
    26     2  1985      665.000000
    27     2  1985      671.000000
    28     2  1985      677.000000
     1     3  1985      682.000000
     2     3  1985      687.000000
     3     3  1985      691.000000
     4     3  1985      695.000000
     5     3  1985      696.000000
     6     3  1985      696.000000
     7     3  1985      696.000000
     8     3  1985      693.000000
     9     3  1985      690.000000
    10     3  1985      688.000000
    11     3  1985      688.000000
    12     3  1985      691.000000
    13     3  1985      697.000000
    14     3  1985      704.000000
    15     3  1985      712.000000
    16     3  1985      723.000000
    17     3  1985      734.000000
    18     3  1985      744.000000
    19     3  1985      754.000000
    20     3  1985      764.000000
    21     3  1985      772.000000
    22     3  1985      780.000000
    23     3  1985      788.000000
    24     3  1985      794.000000
    25     3  1985      799.000000
    26     3  1985      803.000000
    27     3  1985      807.000000
    28     3  1985      808.000000
    29     3  1985      806.000000
    30     3  1985      806.000000
    31     3  1985      806.000000
     1     4  1985      804.000000
     2     4  1985      803.000000
     3     4  1985      799.000000
     4     4  1985      795.000000
     5     4  1985      794.000000
     6     4  1985      793.000000
     7     4  1985      791.000000
     8     4  1985      790.000000
     9     4  1985      790.000000
    10     4  1985      793.000000
    11     4  1985      796.000000
    12     4  1985      800.000000
    13     4  1985      805.000000
    14     4  1985      813.000000
    15     4  1985      819.000000
    16     4  1985      826.000000
    17     4  1985      831.000000
    18     4  1985      838.000000
    19     4  1985      844.000000
    20     4  1985      854.000000
    21     4  1985      859.000000
    22     4  1985      863.000000
    23     4  1985      867.000000
    24     4  1985      872.000000
    25     4  1985      878.000000
    26     4  1985      888.000000
    27     4  1985      893.000000
    28     4  1985      897.000000
    29     4  1985      902.000000
    30     4  1985      914.000000
     1     5  1985      920.000000
     2     5  1985      929.000000
     3     5  1985      940.000000
     4     5  1985      949.000000
     5     5  1985      956.000000
     6     5  1985      962.000000
     7     5  1985      967.000000
     8     5  1985      974.000000
     9     5  1985      981.000000
    10     5  1985      987.000000
    11     5  1985      994.000000
    12     5  1985     1001.000000
    13     5  1985     1005.000000
