MOURA	-61.635	-1.457
    25     2  1985      739.000000
    26     2  1985      735.000000
    27     2  1985      734.000000
    28     2  1985      732.000000
     1     3  1985      731.000000
     2     3  1985      730.000000
     3     3  1985      729.000000
     4     3  1985      729.000000
     5     3  1985      728.000000
     6     3  1985      728.000000
     7     3  1985      728.000000
     8     3  1985      728.000000
     9     3  1985      728.000000
    10     3  1985      728.000000
    11     3  1985      728.000000
    12     3  1985      728.000000
    13     3  1985      727.000000
    14     3  1985      728.000000
    15     3  1985      728.000000
    16     3  1985      728.000000
    17     3  1985      728.000000
    18     3  1985      729.000000
    19     3  1985      730.000000
    20     3  1985      731.000000
    21     3  1985      735.000000
    22     3  1985      740.000000
    23     3  1985      742.000000
    24     3  1985      743.000000
    25     3  1985      744.000000
    26     3  1985      746.000000
    27     3  1985      748.000000
    28     3  1985      749.000000
    29     3  1985      750.000000
    30     3  1985      752.000000
    31     3  1985      756.000000
     1     4  1985      758.000000
     2     4  1985      759.000000
     3     4  1985      762.000000
     4     4  1985      764.000000
     5     4  1985      764.000000
     6     4  1985      764.000000
     7     4  1985      763.000000
     8     4  1985      763.000000
     9     4  1985      763.000000
    10     4  1985      764.000000
    11     4  1985      764.000000
    12     4  1985      765.000000
    13     4  1985      765.000000
    14     4  1985      766.000000
    15     4  1985      766.000000
    16     4  1985      766.000000
    17     4  1985      765.000000
    18     4  1985      764.000000
    19     4  1985      763.000000
    20     4  1985      759.000000
    21     4  1985      755.000000
    22     4  1985      753.000000
    23     4  1985      753.000000
    24     4  1985      751.000000
    25     4  1985      752.000000
    26     4  1985      753.000000
    27     4  1985      753.000000
    28     4  1985      754.000000
    29     4  1985      756.000000
    30     4  1985      758.000000
     1     5  1985      760.000000
     2     5  1985      762.000000
     3     5  1985      765.000000
     4     5  1985      771.000000
     5     5  1985      775.000000
     6     5  1985      779.000000
     7     5  1985      784.000000
     8     5  1985      790.000000
     9     5  1985      799.000000
    10     5  1985      809.000000
    11     5  1985      818.000000
    12     5  1985      827.000000
    13     5  1985      837.000000
    14     5  1985      845.000000
    15     5  1985      852.000000
    16     5  1985      860.000000
    17     5  1985      869.000000
    18     5  1985      878.000000
    19     5  1985      887.000000
    20     5  1985      896.000000
    21     5  1985      905.000000
    22     5  1985      914.000000
    23     5  1985      921.000000
    24     5  1985      927.000000
    25     5  1985      933.000000
    26     5  1985      939.000000
    27     5  1985      947.000000
    28     5  1985      953.000000
    29     5  1985      959.000000
    30     5  1985      965.000000
    31     5  1985      970.000000
     1     6  1985      976.000000
     2     6  1985      982.000000
     3     6  1985      988.000000
     4     6  1985      995.000000
     5     6  1985     1004.000000
     6     6  1985     1014.000000
     7     6  1985     1025.000000
     8     6  1985     1036.000000
     9     6  1985     1046.000000
    10     6  1985     1055.000000
    11     6  1985     1064.000000
    12     6  1985     1072.000000
    13     6  1985     1081.000000
    14     6  1985     1091.000000
    15     6  1985     1105.000000
    16     6  1985     1121.000000
    17     6  1985     1136.000000
    18     6  1985     1145.000000
    19     6  1985     1153.000000
    20     6  1985     1161.000000
    21     6  1985     1171.000000
    22     6  1985     1181.000000
    23     6  1985     1190.000000
    24     6  1985     1198.000000
    25     6  1985     1206.000000
    26     6  1985     1213.000000
    27     6  1985     1217.000000
    28     6  1985     1221.000000
    29     6  1985     1226.000000
    30     6  1985     1228.000000
     1     7  1985     1230.000000
     2     7  1985     1231.000000
     3     7  1985     1232.000000
     4     7  1985     1231.000000
     5     7  1985     1230.000000
     6     7  1985     1229.000000
     7     7  1985     1227.000000
     8     7  1985     1225.000000
     9     7  1985     1223.000000
    10     7  1985     1221.000000
    11     7  1985     1218.000000
    12     7  1985     1214.000000
    13     7  1985     1211.000000
    14     7  1985     1208.000000
    15     7  1985     1205.000000
    16     7  1985     1202.000000
    17     7  1985     1199.000000
    18     7  1985     1195.000000
    19     7  1985     1191.000000
    20     7  1985     1187.000000
    21     7  1985     1182.000000
    22     7  1985     1179.000000
    23     7  1985     1177.000000
    24     7  1985     1174.000000
    25     7  1985     1172.000000
    26     7  1985     1170.000000
    27     7  1985     1170.000000
    28     7  1985     1168.000000
    29     7  1985     1167.000000
    30     7  1985     1167.000000
    31     7  1985     1168.000000
     1     8  1985     1168.000000
     2     8  1985     1169.000000
     3     8  1985     1170.000000
     4     8  1985     1172.000000
     5     8  1985     1173.000000
     6     8  1985     1173.000000
     7     8  1985     1173.000000
     8     8  1985     1173.000000
     9     8  1985     1172.000000
    10     8  1985     1170.000000
    11     8  1985     1168.000000
    12     8  1985     1169.000000
    13     8  1985     1169.000000
    14     8  1985     1166.000000
    15     8  1985     1164.000000
    16     8  1985     1160.000000
    17     8  1985     1158.000000
    18     8  1985     1156.000000
    19     8  1985     1155.000000
    20     8  1985     1153.000000
    21     8  1985     1152.000000
    22     8  1985     1150.000000
    23     8  1985     1150.000000
    24     8  1985     1149.000000
    25     8  1985     1149.000000
    26     8  1985     1148.000000
    27     8  1985     1145.000000
    28     8  1985     1142.000000
    29     8  1985     1141.000000
    30     8  1985     1140.000000
    31     8  1985     1137.000000
     1     9  1985     1134.000000
     2     9  1985     1132.000000
     3     9  1985     1130.000000
     4     9  1985     1128.000000
     5     9  1985     1125.000000
     6     9  1985     1119.000000
     7     9  1985     1113.000000
     8     9  1985     1109.000000
     9     9  1985     1106.000000
    10     9  1985     1102.000000
    11     9  1985     1095.000000
    12     9  1985     1088.000000
    13     9  1985     1080.000000
    14     9  1985     1075.000000
    15     9  1985     1069.000000
    16     9  1985     1062.000000
    17     9  1985     1055.000000
    18     9  1985     1051.000000
    19     9  1985     1046.000000
    20     9  1985     1041.000000
    21     9  1985     1035.000000
    22     9  1985     1029.000000
    23     9  1985     1024.000000
    24     9  1985     1017.000000
    25     9  1985     1007.000000
    26     9  1985      997.000000
    27     9  1985      987.000000
    28     9  1985      977.000000
    29     9  1985      967.000000
    30     9  1985      957.000000
     1    10  1985      944.000000
     2    10  1985      930.000000
     3    10  1985      917.000000
     4    10  1985      904.000000
     5    10  1985      893.000000
     6    10  1985      882.000000
     7    10  1985      869.000000
     8    10  1985      855.000000
     9    10  1985      843.000000
    10    10  1985      830.000000
    11    10  1985      816.000000
    12    10  1985      804.000000
    13    10  1985      792.000000
    14    10  1985      780.000000
    15    10  1985      768.000000
    16    10  1985      756.000000
    17    10  1985      745.000000
    18    10  1985      738.000000
    19    10  1985      728.000000
    20    10  1985      718.000000
    21    10  1985      712.000000
    22    10  1985      706.000000
    23    10  1985      700.000000
    24    10  1985      694.000000
    25    10  1985      689.000000
    26    10  1985      686.000000
    27    10  1985      683.000000
    28    10  1985      680.000000
    29    10  1985      679.000000
    30    10  1985      678.000000
    31    10  1985      678.000000
     1    11  1985      676.000000
