BERURI	-61.368	-3.885
    25     9  1984     1338.000000
    26     9  1984     1325.000000
    27     9  1984     1312.000000
    28     9  1984     1300.000000
    29     9  1984     1290.000000
    30     9  1984     1279.000000
     1    10  1984     1270.000000
     2    10  1984     1258.000000
     3    10  1984     1248.000000
     4    10  1984     1236.000000
     5    10  1984     1223.000000
     6    10  1984     1210.000000
     7    10  1984     1198.000000
     8    10  1984     1183.000000
     9    10  1984     1171.000000
    10    10  1984     1160.000000
    11    10  1984     1148.000000
    12    10  1984     1138.000000
    13    10  1984     1126.000000
    14    10  1984     1118.000000
    15    10  1984     1113.000000
    16    10  1984     1107.000000
    17    10  1984     1101.000000
    18    10  1984     1098.000000
    19    10  1984     1096.000000
    20    10  1984     1094.000000
    21    10  1984     1093.000000
    22    10  1984     1090.000000
    23    10  1984     1090.000000
    24    10  1984     1091.000000
    25    10  1984     1092.000000
    26    10  1984     1094.000000
    27    10  1984     1096.000000
    28    10  1984     1098.000000
    29    10  1984     1099.000000
    30    10  1984     1100.000000
    31    10  1984     1104.000000
     1    11  1984     1110.000000
     2    11  1984     1112.000000
     3    11  1984     1116.000000
     4    11  1984     1121.000000
     5    11  1984     1130.000000
     6    11  1984     1135.000000
     7    11  1984     1139.000000
     8    11  1984     1143.000000
     9    11  1984     1147.000000
    10    11  1984     1151.000000
    11    11  1984     1155.000000
    12    11  1984     1162.000000
    13    11  1984     1168.000000
    14    11  1984     1170.000000
    15    11  1984     1167.000000
    16    11  1984     1164.000000
    17    11  1984     1162.000000
    18    11  1984     1157.000000
    19    11  1984     1154.000000
    20    11  1984     1148.000000
    21    11  1984     1141.000000
    22    11  1984     1133.000000
    23    11  1984     1127.000000
    24    11  1984     1122.000000
    25    11  1984     1113.000000
    26    11  1984     1107.000000
    27    11  1984     1102.000000
    28    11  1984     1100.000000
    29    11  1984     1095.000000
    30    11  1984     1093.000000
     1    12  1984     1092.000000
     2    12  1984     1092.000000
     3    12  1984     1095.000000
     4    12  1984     1098.000000
     5    12  1984     1106.000000
     6    12  1984     1112.000000
     7    12  1984     1124.000000
     8    12  1984     1135.000000
     9    12  1984     1144.000000
    10    12  1984     1149.000000
    11    12  1984     1153.000000
    12    12  1984     1164.000000
    13    12  1984     1184.000000
    14    12  1984     1210.000000
    15    12  1984     1228.000000
    16    12  1984     1238.000000
    17    12  1984     1256.000000
    18    12  1984     1266.000000
    19    12  1984     1274.000000
    20    12  1984     1286.000000
    21    12  1984     1302.000000
    22    12  1984     1312.000000
    23    12  1984     1325.000000
    24    12  1984     1334.000000
    25    12  1984     1344.000000
    26    12  1984     1354.000000
    27    12  1984     1362.000000
    28    12  1984     1370.000000
    29    12  1984     1377.000000
    30    12  1984     1388.000000
    31    12  1984     1398.000000
     1     1  1985     1409.000000
     2     1  1985     1422.000000
     3     1  1985     1429.000000
     4     1  1985     1434.000000
     5     1  1985     1438.000000
     6     1  1985     1444.000000
     7     1  1985     1453.000000
     8     1  1985     1462.000000
     9     1  1985     1472.000000
    10     1  1985     1484.000000
    11     1  1985     1494.000000
    12     1  1985     1502.000000
    13     1  1985     1512.000000
    14     1  1985     1516.000000
    15     1  1985     1524.000000
    16     1  1985     1532.000000
    17     1  1985     1540.000000
    18     1  1985     1546.000000
    19     1  1985     1552.000000
    20     1  1985     1559.000000
    21     1  1985     1566.000000
    22     1  1985     1570.000000
    23     1  1985     1572.000000
    24     1  1985     1575.000000
    25     1  1985     1578.000000
    26     1  1985     1580.000000
    27     1  1985     1583.000000
    28     1  1985     1582.000000
