BORBA	-59.597	-4.388
    21     2  1985     1886.000000
    22     2  1985     1886.000000
    23     2  1985     1888.000000
    24     2  1985     1889.000000
    25     2  1985     1890.000000
    26     2  1985     1890.000000
    27     2  1985     1889.000000
    28     2  1985     1889.000000
     1     3  1985     1890.000000
     2     3  1985     1891.000000
     3     3  1985     1892.000000
     4     3  1985     1893.000000
     5     3  1985     1894.000000
     6     3  1985     1894.000000
     7     3  1985     1893.000000
     8     3  1985     1893.000000
     9     3  1985     1892.000000
    10     3  1985     1891.000000
    11     3  1985     1890.000000
    12     3  1985     1890.000000
    13     3  1985     1892.000000
    14     3  1985     1893.000000
    15     3  1985     1894.000000
    16     3  1985     1896.000000
    17     3  1985     1897.000000
    18     3  1985     1899.000000
    19     3  1985     1902.000000
    20     3  1985     1905.000000
    21     3  1985     1906.000000
    22     3  1985     1907.000000
    23     3  1985     1908.000000
    24     3  1985     1912.000000
    25     3  1985     1914.000000
    26     3  1985     1916.000000
    27     3  1985     1918.000000
    28     3  1985     1919.000000
    29     3  1985     1920.000000
    30     3  1985     1920.000000
    31     3  1985     1920.000000
     1     4  1985     1921.000000
     2     4  1985     1921.000000
     3     4  1985     1920.000000
     4     4  1985     1920.000000
     5     4  1985     1921.000000
     6     4  1985     1921.000000
     7     4  1985     1922.000000
     8     4  1985     1922.000000
     9     4  1985     1923.000000
    10     4  1985     1924.000000
    11     4  1985     1925.000000
    12     4  1985     1925.000000
    13     4  1985     1925.000000
    14     4  1985     1926.000000
    15     4  1985     1926.000000
    16     4  1985     1926.000000
    17     4  1985     1926.000000
    18     4  1985     1925.000000
    19     4  1985     1924.000000
    20     4  1985     1923.000000
    21     4  1985     1923.000000
    22     4  1985     1922.000000
    23     4  1985     1922.000000
    24     4  1985     1920.000000
    25     4  1985     1923.000000
    26     4  1985     1923.000000
    27     4  1985     1924.000000
    28     4  1985     1926.000000
    29     4  1985     1927.000000
    30     4  1985     1928.000000
     1     5  1985     1930.000000
     2     5  1985     1933.000000
     3     5  1985     1937.000000
     4     5  1985     1940.000000
     5     5  1985     1941.000000
     6     5  1985     1944.000000
     7     5  1985     1947.000000
     8     5  1985     1950.000000
     9     5  1985     1952.000000
    10     5  1985     1956.000000
    11     5  1985     1958.000000
    12     5  1985     1960.000000
    13     5  1985     1963.000000
    14     5  1985     1966.000000
    15     5  1985     1968.000000
    16     5  1985     1969.000000
    17     5  1985     1968.000000
    18     5  1985     1967.000000
    19     5  1985     1967.000000
    20     5  1985     1963.000000
    21     5  1985     1959.000000
    22     5  1985     1957.000000
    23     5  1985     1956.000000
    24     5  1985     1953.000000
    25     5  1985     1950.000000
    26     5  1985     1946.000000
    27     5  1985     1944.000000
    28     5  1985     1940.000000
    29     5  1985     1937.000000
    30     5  1985     1934.000000
    31     5  1985     1930.000000
     1     6  1985     1926.000000
     2     6  1985     1923.000000
     3     6  1985     1919.000000
     4     6  1985     1915.000000
     5     6  1985     1912.000000
     6     6  1985     1908.000000
     7     6  1985     1904.000000
     8     6  1985     1902.000000
     9     6  1985     1898.000000
    10     6  1985     1894.000000
    11     6  1985     1891.000000
    12     6  1985     1887.000000
    13     6  1985     1883.000000
    14     6  1985     1880.000000
    15     6  1985     1876.000000
    16     6  1985     1872.000000
    17     6  1985     1868.000000
    18     6  1985     1864.000000
    19     6  1985     1858.000000
    20     6  1985     1853.000000
    21     6  1985     1849.000000
    22     6  1985     1844.000000
    23     6  1985     1838.000000
    24     6  1985     1834.000000
    25     6  1985     1828.000000
    26     6  1985     1824.000000
    27     6  1985     1818.000000
    28     6  1985     1812.000000
    29     6  1985     1806.000000
    30     6  1985     1800.000000
     1     7  1985     1794.000000
     2     7  1985     1788.000000
     3     7  1985     1780.000000
     4     7  1985     1774.000000
     5     7  1985     1766.000000
     6     7  1985     1758.000000
     7     7  1985     1750.000000
     8     7  1985     1743.000000
     9     7  1985     1735.000000
    10     7  1985     1726.000000
    11     7  1985     1718.000000
    12     7  1985     1710.000000
    13     7  1985     1702.000000
    14     7  1985     1692.000000
    15     7  1985     1682.000000
    16     7  1985     1673.000000
    17     7  1985     1664.000000
    18     7  1985     1654.000000
    19     7  1985     1645.000000
    20     7  1985     1637.000000
    21     7  1985     1629.000000
    22     7  1985     1622.000000
    23     7  1985     1614.000000
    24     7  1985     1606.000000
    25     7  1985     1600.000000
    26     7  1985     1594.000000
    27     7  1985     1586.000000
    28     7  1985     1576.000000
    29     7  1985     1569.000000
    30     7  1985     1559.000000
    31     7  1985     1550.000000
     1     8  1985     1540.000000
     2     8  1985     1532.000000
     3     8  1985     1524.000000
     4     8  1985     1516.000000
     5     8  1985     1508.000000
     6     8  1985     1500.000000
     7     8  1985     1492.000000
     8     8  1985     1486.000000
     9     8  1985     1478.000000
    10     8  1985     1472.000000
    11     8  1985     1464.000000
    12     8  1985     1456.000000
    13     8  1985     1448.000000
    14     8  1985     1443.000000
    15     8  1985     1434.000000
    16     8  1985     1428.000000
    17     8  1985     1420.000000
    18     8  1985     1414.000000
    19     8  1985     1408.000000
    20     8  1985     1400.000000
    21     8  1985     1394.000000
    22     8  1985     1388.000000
    23     8  1985     1381.000000
    24     8  1985     1377.000000
    25     8  1985     1372.000000
    26     8  1985     1368.000000
    27     8  1985     1362.000000
    28     8  1985     1359.000000
    29     8  1985     1356.000000
    30     8  1985     1354.000000
    31     8  1985     1351.000000
     1     9  1985     1346.000000
     2     9  1985     1344.000000
     3     9  1985     1338.000000
     4     9  1985     1331.000000
     5     9  1985     1324.000000
     6     9  1985     1318.000000
     7     9  1985     1312.000000
     8     9  1985     1306.000000
     9     9  1985     1300.000000
    10     9  1985     1294.000000
    11     9  1985     1290.000000
    12     9  1985     1285.000000
    13     9  1985     1278.000000
    14     9  1985     1270.000000
    15     9  1985     1263.000000
    16     9  1985     1254.000000
    17     9  1985     1247.000000
    18     9  1985     1240.000000
    19     9  1985     1234.000000
    20     9  1985     1226.000000
    21     9  1985     1218.000000
    22     9  1985     1211.000000
