GAVIÃO	-66.849	-4.839
    21     7  1994      784.000000
    22     7  1994      758.000000
    23     7  1994      733.000000
    24     7  1994      710.000000
    25     7  1994      687.000000
    26     7  1994      664.000000
    27     7  1994      640.000000
    28     7  1994      620.000000
    29     7  1994      602.000000
    30     7  1994      585.000000
    31     7  1994      567.000000
     1     8  1994      542.000000
     2     8  1994      526.000000
     3     8  1994      511.000000
     4     8  1994      499.000000
     5     8  1994      487.000000
     6     8  1994      477.000000
     7     8  1994      468.000000
     8     8  1994      456.000000
     9     8  1994      447.000000
    10     8  1994      441.000000
    11     8  1994      436.000000
    12     8  1994      426.000000
    13     8  1994      417.000000
    14     8  1994      407.000000
    15     8  1994      395.000000
    16     8  1994      388.000000
    17     8  1994      381.000000
    18     8  1994      374.000000
    19     8  1994      366.000000
    20     8  1994      357.000000
    21     8  1994      349.000000
    22     8  1994      342.000000
    23     8  1994      335.000000
    24     8  1994      327.000000
    25     8  1994      321.000000
    26     8  1994      314.000000
    27     8  1994      306.000000
    28     8  1994      298.000000
    29     8  1994      291.000000
    30     8  1994      284.000000
    31     8  1994      277.000000
     1     9  1994      269.000000
     2     9  1994      261.000000
     3     9  1994      250.000000
     4     9  1994      243.000000
     5     9  1994      236.000000
     6     9  1994      225.000000
     7     9  1994      217.000000
     8     9  1994      209.000000
     9     9  1994      202.000000
    10     9  1994      195.000000
    11     9  1994      190.000000
    12     9  1994      185.000000
    13     9  1994      178.000000
    14     9  1994      174.000000
    15     9  1994      177.000000
    16     9  1994      183.000000
    17     9  1994      185.000000
    18     9  1994      183.000000
    19     9  1994      180.000000
    20     9  1994      175.000000
    21     9  1994      172.000000
    22     9  1994      174.000000
    23     9  1994      179.000000
    24     9  1994      176.000000
    25     9  1994      171.000000
    26     9  1994      163.000000
    27     9  1994      157.000000
    28     9  1994      154.000000
    29     9  1994      154.000000
    30     9  1994      150.000000
     1    10  1994      145.000000
     2    10  1994      141.000000
     3    10  1994      140.000000
     4    10  1994      138.000000
     5    10  1994      134.000000
     6    10  1994      131.000000
     7    10  1994      129.000000
     8    10  1994      153.000000
     9    10  1994      154.000000
    10    10  1994      155.000000
    11    10  1994      153.000000
    12    10  1994      151.000000
    13    10  1994      150.000000
    14    10  1994      148.000000
    15    10  1994      148.000000
    16    10  1994      151.000000
    17    10  1994      159.000000
    18    10  1994      168.000000
    19    10  1994      173.000000
    20    10  1994      177.000000
    21    10  1994      176.000000
    22    10  1994      173.000000
    23    10  1994      169.000000
    24    10  1994      168.000000
    25    10  1994      169.000000
    26    10  1994      173.000000
    27    10  1994      177.000000
    28    10  1994      184.000000
    29    10  1994      189.000000
    30    10  1994      194.000000
    31    10  1994      197.000000
     1    11  1994      202.000000
     2    11  1994      209.000000
     3    11  1994      220.000000
     4    11  1994      230.000000
     5    11  1994      241.000000
     6    11  1994      251.000000
     7    11  1994      259.000000
     8    11  1994      266.000000
     9    11  1994      274.000000
    10    11  1994      279.000000
    11    11  1994      284.000000
    12    11  1994      288.000000
    13    11  1994      291.000000
    14    11  1994      295.000000
    15    11  1994      296.000000
    16    11  1994      298.000000
    17    11  1994      303.000000
    18    11  1994      308.000000
    19    11  1994      317.000000
    20    11  1994      329.000000
    21    11  1994      345.000000
    22    11  1994      370.000000
    23    11  1994      412.000000
    24    11  1994      457.000000
    25    11  1994      507.000000
    26    11  1994      547.000000
    27    11  1994      569.000000
    28    11  1994      588.000000
    29    11  1994      603.000000
    30    11  1994      627.000000
     1    12  1994      667.000000
     2    12  1994      710.000000
     3    12  1994      753.000000
     4    12  1994      790.000000
     5    12  1994      820.000000
     6    12  1994      846.000000
     7    12  1994      864.000000
     8    12  1994      878.000000
     9    12  1994      889.000000
    10    12  1994      898.000000
    11    12  1994      906.000000
    12    12  1994      911.000000
    13    12  1994      920.000000
    14    12  1994      936.000000
    15    12  1994      955.000000
    16    12  1994      970.000000
    17    12  1994      979.000000
    18    12  1994      989.000000
    19    12  1994      999.000000
    20    12  1994     1005.000000
    21    12  1994     1012.000000
    22    12  1994     1020.000000
    23    12  1994     1026.000000
    24    12  1994     1031.000000
    25    12  1994     1036.000000
    26    12  1994     1041.000000
    27    12  1994     1044.000000
    28    12  1994     1047.000000
    29    12  1994     1051.000000
    30    12  1994     1068.000000
    31    12  1994     1104.000000
     1     1  1995     1120.000000
     2     1  1995     1131.000000
     3     1  1995     1138.000000
     4     1  1995     1148.000000
     5     1  1995     1153.000000
     6     1  1995     1158.000000
     7     1  1995     1161.000000
     8     1  1995     1163.000000
     9     1  1995     1164.000000
    10     1  1995     1165.000000
    11     1  1995     1165.000000
    12     1  1995     1165.000000
    13     1  1995     1164.000000
    14     1  1995     1163.000000
    15     1  1995     1162.000000
    16     1  1995     1160.000000
    17     1  1995     1159.000000
    18     1  1995     1157.000000
    19     1  1995     1156.000000
    20     1  1995     1154.000000
    21     1  1995     1151.000000
    22     1  1995     1147.000000
    23     1  1995     1149.000000
    24     1  1995     1146.000000
    25     1  1995     1144.000000
    26     1  1995     1152.000000
    27     1  1995     1153.000000
    28     1  1995     1153.000000
    29     1  1995     1153.000000
    30     1  1995     1153.000000
    31     1  1995     1153.000000
     1     2  1995     1152.000000
     2     2  1995     1151.000000
     3     2  1995     1150.000000
     4     2  1995     1149.000000
     5     2  1995     1148.000000
     6     2  1995     1147.000000
     7     2  1995     1150.000000
     8     2  1995     1151.000000
     9     2  1995     1153.000000
    10     2  1995     1152.000000
    11     2  1995     1150.000000
    12     2  1995     1146.000000
    13     2  1995     1140.000000
    14     2  1995     1135.000000
    15     2  1995     1128.000000
    16     2  1995     1119.000000
    17     2  1995     1112.000000
    18     2  1995     1103.000000
    19     2  1995     1094.000000
    20     2  1995     1089.000000
    21     2  1995     1085.000000
    22     2  1995     1083.000000
    23     2  1995     1082.000000
    24     2  1995     1084.000000
    25     2  1995     1085.000000
    26     2  1995     1087.000000
    27     2  1995     1091.000000
    28     2  1995     1092.000000
     1     3  1995     1094.000000
     2     3  1995     1098.000000
     3     3  1995     1104.000000
     4     3  1995     1119.000000
     5     3  1995     1133.000000
     6     3  1995     1146.000000
     7     3  1995     1159.000000
     8     3  1995     1171.000000
     9     3  1995     1182.000000
    10     3  1995     1193.000000
    11     3  1995     1206.000000
    12     3  1995     1218.000000
    13     3  1995     1226.000000
    14     3  1995     1239.000000
    15     3  1995     1247.000000
    16     3  1995     1257.000000
    17     3  1995     1264.000000
    18     3  1995     1271.000000
    19     3  1995     1275.000000
    20     3  1995     1281.000000
    21     3  1995     1289.000000
    22     3  1995     1300.000000
    23     3  1995     1309.000000
    24     3  1995     1313.000000
    25     3  1995     1318.000000
    26     3  1995     1323.000000
    27     3  1995     1328.000000
    28     3  1995     1338.000000
    29     3  1995     1344.000000
    30     3  1995     1349.000000
    31     3  1995     1354.000000
     1     4  1995     1359.000000
     2     4  1995     1365.000000
     3     4  1995     1371.000000
     4     4  1995     1375.000000
     5     4  1995     1378.000000
     6     4  1995     1383.000000
     7     4  1995     1386.000000
     8     4  1995     1387.000000
     9     4  1995     1390.000000
    10     4  1995     1392.000000
    11     4  1995     1384.000000
    12     4  1995     1383.000000
    13     4  1995     1381.000000
    14     4  1995     1378.000000
    15     4  1995     1376.000000
    16     4  1995     1374.000000
    17     4  1995     1370.000000
    18     4  1995     1367.000000
    19     4  1995     1363.000000
    20     4  1995     1359.000000
    21     4  1995     1360.000000
    22     4  1995     1359.000000
    23     4  1995     1357.000000
    24     4  1995     1354.000000
    25     4  1995     1351.000000
    26     4  1995     1349.000000
    27     4  1995     1345.000000
    28     4  1995     1341.000000
    29     4  1995     1337.000000
    30     4  1995     1333.000000
     1     5  1995     1333.000000
     2     5  1995     1330.000000
     3     5  1995     1326.000000
     4     5  1995     1322.000000
     5     5  1995     1317.000000
     6     5  1995     1310.000000
     7     5  1995     1303.000000
     8     5  1995     1296.000000
     9     5  1995     1287.000000
    10     5  1995     1276.000000
    11     5  1995     1262.000000
    12     5  1995     1239.000000
    13     5  1995     1204.000000
    14     5  1995     1172.000000
    15     5  1995     1142.000000
    16     5  1995     1115.000000
    17     5  1995     1083.000000
    18     5  1995     1043.000000
    19     5  1995     1002.000000
    20     5  1995      939.000000
    21     5  1995      930.000000
    22     5  1995      912.000000
    23     5  1995      902.000000
    24     5  1995      902.000000
    25     5  1995      907.000000
    26     5  1995      909.000000
    27     5  1995      905.000000
    28     5  1995      899.000000
    29     5  1995      889.000000
    30     5  1995      871.000000
    31     5  1995      851.000000
     1     6  1995      827.000000
     2     6  1995      811.000000
     3     6  1995      786.000000
     4     6  1995      765.000000
     5     6  1995      740.000000
     6     6  1995      718.000000
     7     6  1995      696.000000
     8     6  1995      680.000000
     9     6  1995      663.000000
    10     6  1995      647.000000
    11     6  1995      633.000000
    12     6  1995      616.000000
    13     6  1995      600.000000
    14     6  1995      586.000000
    15     6  1995      572.000000
    16     6  1995      562.000000
    17     6  1995      550.000000
    18     6  1995      540.000000
    19     6  1995      525.000000
    20     6  1995      510.000000
    21     6  1995      495.000000
    22     6  1995      480.000000
    23     6  1995      468.000000
    24     6  1995      455.000000
    25     6  1995      442.000000
    26     6  1995      434.000000
    27     6  1995      423.000000
    28     6  1995      411.000000
    29     6  1995      400.000000
    30     6  1995      391.000000
     1     7  1995      381.000000
     2     7  1995      368.000000
     3     7  1995      354.000000
     4     7  1995      338.000000
     5     7  1995      331.000000
     6     7  1995      324.000000
     7     7  1995      320.000000
     8     7  1995      318.000000
     9     7  1995      318.000000
    10     7  1995      323.000000
    11     7  1995      330.000000
    12     7  1995      335.000000
    13     7  1995      337.000000
    14     7  1995      335.000000
    15     7  1995      330.000000
    16     7  1995      325.000000
    17     7  1995      318.000000
    18     7  1995      310.000000
    19     7  1995      304.000000
    20     7  1995      299.000000
    21     7  1995      293.000000
    22     7  1995      279.000000
    23     7  1995      273.000000
    24     7  1995      267.000000
    25     7  1995      261.000000
    26     7  1995      254.000000
    27     7  1995      249.000000
    28     7  1995      243.000000
    29     7  1995      237.000000
    30     7  1995      230.000000
    31     7  1995      224.000000
     1     8  1995      217.000000
     2     8  1995      210.000000
     3     8  1995      204.000000
     4     8  1995      198.000000
     5     8  1995      188.000000
     6     8  1995      183.000000
     7     8  1995      176.000000
     8     8  1995      168.000000
     9     8  1995      162.000000
    10     8  1995      154.000000
    11     8  1995      149.000000
    12     8  1995      147.000000
    13     8  1995      143.000000
    14     8  1995      139.000000
    15     8  1995      137.000000
    16     8  1995      135.000000
    17     8  1995      135.000000
    18     8  1995      132.000000
    19     8  1995      129.000000
    20     8  1995      125.000000
