ASSISBRASIL	-69.550	-10.933
    28     5  1985      309.000000
    29     5  1985      306.000000
    30     5  1985      313.000000
    31     5  1985      322.000000
     1     6  1985      318.000000
     2     6  1985      318.000000
     3     6  1985      319.000000
     4     6  1985      392.000000
     5     6  1985      406.000000
     6     6  1985      359.000000
     7     6  1985      334.000000
     8     6  1985      324.000000
     9     6  1985      329.000000
    10     6  1985      328.000000
    11     6  1985      323.000000
    12     6  1985      320.000000
    13     6  1985      314.000000
    14     6  1985      309.000000
    15     6  1985      306.000000
    16     6  1985      304.000000
    17     6  1985      302.000000
    18     6  1985      299.000000
    19     6  1985      295.000000
    20     6  1985      291.000000
    21     6  1985      282.000000
    22     6  1985      276.000000
    23     6  1985      271.000000
    24     6  1985      267.000000
    25     6  1985      264.000000
    26     6  1985      265.000000
    27     6  1985      271.000000
    28     6  1985      271.000000
    29     6  1985      270.000000
    30     6  1985      270.000000
     1     7  1985      268.000000
     2     7  1985      270.000000
     3     7  1985      268.000000
     4     7  1985      266.000000
     5     7  1985      266.000000
     6     7  1985      266.000000
     7     7  1985      268.000000
     8     7  1985      332.000000
     9     7  1985      294.000000
    10     7  1985      280.000000
    11     7  1985      287.000000
    12     7  1985      282.000000
    13     7  1985      278.000000
    14     7  1985      273.000000
    15     7  1985      263.000000
    16     7  1985      263.000000
    17     7  1985      268.000000
    18     7  1985      268.000000
    19     7  1985      270.000000
    20     7  1985      275.000000
    21     7  1985      271.000000
    22     7  1985      267.000000
    23     7  1985      266.000000
    24     7  1985      266.000000
    25     7  1985      266.000000
    26     7  1985      266.000000
    27     7  1985      266.000000
    28     7  1985      266.000000
    29     7  1985      264.000000
    30     7  1985      262.000000
    31     7  1985      261.000000
     1     8  1985      267.000000
     2     8  1985      281.000000
     3     8  1985      278.000000
     4     8  1985      271.000000
     5     8  1985      267.000000
     6     8  1985      264.000000
     7     8  1985      264.000000
     8     8  1985      262.000000
     9     8  1985      262.000000
    10     8  1985      262.000000
    11     8  1985      262.000000
    12     8  1985      262.000000
    13     8  1985      262.000000
    14     8  1985      260.000000
    15     8  1985      260.000000
    16     8  1985      260.000000
    17     8  1985      260.000000
    18     8  1985      260.000000
    19     8  1985      258.000000
    20     8  1985      266.000000
    21     8  1985      274.000000
    22     8  1985      356.000000
    23     8  1985      296.000000
    24     8  1985      283.000000
    25     8  1985      271.000000
    26     8  1985      265.000000
