FAZENDAPASSARÃO	-60.571	3.208
    17     8  1985      990.000000
    18     8  1985      973.000000
    19     8  1985     1003.000000
    20     8  1985      998.000000
    21     8  1985      993.000000
    22     8  1985      985.000000
    23     8  1985      978.000000
    24     8  1985      973.000000
    25     8  1985      985.000000
    26     8  1985      993.000000
    27     8  1985     1005.000000
    28     8  1985     1010.000000
    29     8  1985     1007.000000
    30     8  1985      976.000000
    31     8  1985      920.000000
     1     9  1985      889.000000
     2     9  1985      866.000000
     3     9  1985      841.000000
     4     9  1985      815.000000
     5     9  1985      796.000000
     6     9  1985      798.000000
     7     9  1985      834.000000
     8     9  1985      866.000000
     9     9  1985      866.000000
    10     9  1985      874.000000
    11     9  1985      885.000000
    12     9  1985      896.000000
    13     9  1985      918.000000
    14     9  1985      938.000000
    15     9  1985      949.000000
    16     9  1985      957.000000
    17     9  1985      932.000000
    18     9  1985      885.000000
    19     9  1985      843.000000
    20     9  1985      819.000000
    21     9  1985      788.000000
    22     9  1985      751.000000
    23     9  1985      741.000000
    24     9  1985      741.000000
    25     9  1985      741.000000
    26     9  1985      729.000000
    27     9  1985      712.000000
    28     9  1985      709.000000
    29     9  1985      709.000000
    30     9  1985      688.000000
     1    10  1985      684.000000
     2    10  1985      700.000000
     3    10  1985      730.000000
     4    10  1985      723.000000
     5    10  1985      716.000000
     6    10  1985      708.000000
     7    10  1985      688.000000
     8    10  1985      681.000000
     9    10  1985      677.000000
    10    10  1985      669.000000
    11    10  1985      662.000000
    12    10  1985      652.000000
    13    10  1985      651.000000
    14    10  1985      653.000000
    15    10  1985      660.000000
    16    10  1985      669.000000
    17    10  1985      677.000000
    18    10  1985      681.000000
    19    10  1985      684.000000
    20    10  1985      688.000000
    21    10  1985      692.000000
    22    10  1985      683.000000
    23    10  1985      675.000000
    24    10  1985      664.000000
    25    10  1985      650.000000
    26    10  1985      643.000000
    27    10  1985      636.000000
    28    10  1985      631.000000
    29    10  1985      627.000000
    30    10  1985      627.000000
    31    10  1985      639.000000
     1    11  1985      651.000000
     2    11  1985      694.000000
     3    11  1985      767.000000
     4    11  1985      785.000000
     5    11  1985      795.000000
     6    11  1985      789.000000
     7    11  1985      780.000000
     8    11  1985      754.000000
     9    11  1985      737.000000
    10    11  1985      723.000000
    11    11  1985      708.000000
    12    11  1985      688.000000
    13    11  1985      666.000000
    14    11  1985      648.000000
    15    11  1985      641.000000
    16    11  1985      630.000000
    17    11  1985      623.000000
    18    11  1985      618.000000
    19    11  1985      611.000000
    20    11  1985      605.000000
    21    11  1985      603.000000
    22    11  1985      612.000000
    23    11  1985      670.000000
    24    11  1985      687.000000
    25    11  1985      673.000000
    26    11  1985      647.000000
    27    11  1985      641.000000
    28    11  1985      649.000000
