TABATINGA	-69.933	-4.250
    31     5  1985      905.000000
     1     6  1985      909.000000
     2     6  1985      918.000000
     3     6  1985      928.000000
     4     6  1985      933.000000
     5     6  1985      936.000000
     6     6  1985      936.000000
     7     6  1985      936.000000
     8     6  1985      932.000000
     9     6  1985      927.000000
    10     6  1985      922.000000
    11     6  1985      910.000000
    12     6  1985      898.000000
    13     6  1985      884.000000
    14     6  1985      869.000000
    15     6  1985      854.000000
    16     6  1985      840.000000
    17     6  1985      826.000000
    18     6  1985      812.000000
    19     6  1985      794.000000
    20     6  1985      774.000000
    21     6  1985      751.000000
    22     6  1985      728.000000
    23     6  1985      706.000000
    24     6  1985      692.000000
    25     6  1985      683.000000
    26     6  1985      682.000000
    27     6  1985      693.000000
    28     6  1985      705.000000
    29     6  1985      718.000000
    30     6  1985      725.000000
     1     7  1985    -9999.000000
     2     7  1985    -9999.000000
     3     7  1985    -9999.000000
     4     7  1985    -9999.000000
     5     7  1985    -9999.000000
     6     7  1985    -9999.000000
     7     7  1985    -9999.000000
     8     7  1985    -9999.000000
     9     7  1985    -9999.000000
    10     7  1985    -9999.000000
    11     7  1985    -9999.000000
    12     7  1985    -9999.000000
    13     7  1985    -9999.000000
    14     7  1985    -9999.000000
    15     7  1985    -9999.000000
    16     7  1985    -9999.000000
    17     7  1985    -9999.000000
    18     7  1985    -9999.000000
    19     7  1985    -9999.000000
    20     7  1985    -9999.000000
    21     7  1985    -9999.000000
    22     7  1985    -9999.000000
    23     7  1985    -9999.000000
    24     7  1985    -9999.000000
    25     7  1985    -9999.000000
    26     7  1985    -9999.000000
    27     7  1985    -9999.000000
    28     7  1985    -9999.000000
    29     7  1985    -9999.000000
    30     7  1985    -9999.000000
    31     7  1985    -9999.000000
     1     8  1985      568.000000
     2     8  1985      552.000000
     3     8  1985      540.000000
     4     8  1985      528.000000
     5     8  1985      522.000000
     6     8  1985      522.000000
     7     8  1985      522.000000
     8     8  1985      522.000000
     9     8  1985      524.000000
    10     8  1985      532.000000
    11     8  1985      545.000000
    12     8  1985      560.000000
    13     8  1985      574.000000
    14     8  1985      580.000000
    15     8  1985      586.000000
    16     8  1985      589.000000
    17     8  1985      581.000000
    18     8  1985      574.000000
    19     8  1985      566.000000
    20     8  1985      567.000000
    21     8  1985      566.000000
    22     8  1985      552.000000
    23     8  1985      536.000000
    24     8  1985      531.000000
    25     8  1985      525.000000
    26     8  1985      512.000000
    27     8  1985      501.000000
    28     8  1985      492.000000
    29     8  1985      478.000000
    30     8  1985      466.000000
    31     8  1985      452.000000
     1     9  1985      440.000000
     2     9  1985      432.000000
     3     9  1985      420.000000
     4     9  1985      414.000000
     5     9  1985      418.000000
     6     9  1985      425.000000
     7     9  1985      432.000000
     8     9  1985      444.000000
     9     9  1985      452.000000
    10     9  1985      462.000000
    11     9  1985      468.000000
    12     9  1985      470.000000
    13     9  1985      470.000000
    14     9  1985      470.000000
    15     9  1985      470.000000
    16     9  1985      469.000000
    17     9  1985      462.000000
    18     9  1985      451.000000
    19     9  1985      434.000000
    20     9  1985      422.000000
    21     9  1985      418.000000
    22     9  1985      425.000000
    23     9  1985      431.000000
    24     9  1985      437.000000
    25     9  1985      452.000000
    26     9  1985      468.000000
    27     9  1985      482.000000
    28     9  1985      501.000000
    29     9  1985      520.000000
    30     9  1985      532.000000
     1    10  1985      541.000000
     2    10  1985      546.000000
     3    10  1985      546.000000
     4    10  1985      541.000000
     5    10  1985      540.000000
     6    10  1985      540.000000
     7    10  1985      553.000000
     8    10  1985      572.000000
     9    10  1985      595.000000
    10    10  1985      621.000000
    11    10  1985      651.000000
    12    10  1985      682.000000
    13    10  1985      706.000000
    14    10  1985      722.000000
    15    10  1985      728.000000
    16    10  1985      729.000000
    17    10  1985      726.000000
    18    10  1985      724.000000
    19    10  1985      724.000000
    20    10  1985      730.000000
    21    10  1985      738.000000
    22    10  1985      744.000000
    23    10  1985      746.000000
    24    10  1985      748.000000
    25    10  1985      750.000000
    26    10  1985      754.000000
    27    10  1985      755.000000
    28    10  1985      755.000000
    29    10  1985      755.000000
    30    10  1985      752.000000
    31    10  1985      748.000000
     1    11  1985      740.000000
     2    11  1985      727.000000
     3    11  1985      706.000000
     4    11  1985      684.000000
     5    11  1985      654.000000
     6    11  1985      625.000000
