MANAUS	-60.027	-3.137
    26     5  1985     2500.000000
    27     5  1985     2504.000000
    28     5  1985     2508.000000
    29     5  1985     2513.000000
    30     5  1985     2517.000000
    31     5  1985     2520.000000
     1     6  1985     2523.000000
     2     6  1985     2526.000000
     3     6  1985     2529.000000
     4     6  1985     2532.000000
     5     6  1985     2535.000000
     6     6  1985     2538.000000
     7     6  1985     2541.000000
     8     6  1985     2546.000000
     9     6  1985     2551.000000
    10     6  1985     2557.000000
    11     6  1985     2563.000000
    12     6  1985     2568.000000
    13     6  1985     2572.000000
    14     6  1985     2575.000000
    15     6  1985     2580.000000
    16     6  1985     2585.000000
    17     6  1985     2590.000000
    18     6  1985     2595.000000
    19     6  1985     2599.000000
    20     6  1985     2603.000000
    21     6  1985     2606.000000
    22     6  1985     2609.000000
    23     6  1985     2613.000000
    24     6  1985     2617.000000
    25     6  1985     2620.000000
    26     6  1985     2622.000000
    27     6  1985     2623.000000
    28     6  1985     2624.000000
    29     6  1985     2625.000000
    30     6  1985     2626.000000
     1     7  1985     2627.000000
     2     7  1985     2627.000000
     3     7  1985     2627.000000
     4     7  1985     2627.000000
     5     7  1985     2626.000000
     6     7  1985     2624.000000
     7     7  1985     2622.000000
     8     7  1985     2620.000000
     9     7  1985     2619.000000
    10     7  1985     2617.000000
    11     7  1985     2614.000000
    12     7  1985     2612.000000
    13     7  1985     2610.000000
    14     7  1985     2608.000000
    15     7  1985     2606.000000
    16     7  1985     2604.000000
    17     7  1985     2601.000000
    18     7  1985     2597.000000
    19     7  1985     2594.000000
    20     7  1985     2591.000000
    21     7  1985     2588.000000
    22     7  1985     2585.000000
    23     7  1985     2581.000000
    24     7  1985     2576.000000
    25     7  1985     2572.000000
    26     7  1985     2569.000000
    27     7  1985     2566.000000
    28     7  1985     2562.000000
    29     7  1985     2558.000000
    30     7  1985     2554.000000
    31     7  1985     2550.000000
     1     8  1985     2547.000000
     2     8  1985     2544.000000
     3     8  1985     2541.000000
     4     8  1985     2538.000000
     5     8  1985     2534.000000
     6     8  1985     2530.000000
     7     8  1985     2526.000000
     8     8  1985     2522.000000
     9     8  1985     2518.000000
    10     8  1985     2515.000000
    11     8  1985     2512.000000
    12     8  1985     2509.000000
    13     8  1985     2506.000000
    14     8  1985     2502.000000
    15     8  1985     2498.000000
    16     8  1985     2493.000000
    17     8  1985     2489.000000
    18     8  1985     2484.000000
    19     8  1985     2479.000000
    20     8  1985     2475.000000
    21     8  1985     2470.000000
    22     8  1985     2466.000000
    23     8  1985     2462.000000
    24     8  1985     2458.000000
    25     8  1985     2454.000000
    26     8  1985     2450.000000
    27     8  1985     2446.000000
    28     8  1985     2441.000000
    29     8  1985     2436.000000
    30     8  1985     2431.000000
    31     8  1985     2426.000000
     1     9  1985     2421.000000
     2     9  1985     2417.000000
     3     9  1985     2413.000000
     4     9  1985     2409.000000
     5     9  1985     2404.000000
     6     9  1985     2398.000000
     7     9  1985     2392.000000
     8     9  1985     2386.000000
     9     9  1985     2380.000000
    10     9  1985     2374.000000
    11     9  1985     2368.000000
    12     9  1985     2360.000000
    13     9  1985     2352.000000
    14     9  1985     2344.000000
    15     9  1985     2337.000000
    16     9  1985     2330.000000
    17     9  1985     2323.000000
    18     9  1985     2316.000000
    19     9  1985     2307.000000
